Owner:,KHERADPIR SHAYGAN
Cname:,JUNIPER NETWORKS INC
Google Trends Search Term:,Shaygan Kheradpir
Google Trends Suggestion:,CEO of the Coriant
Category:,Reliable

Year,Month,SVI Data
2004,Jan,20
2004,Feb,0
2004,Mar,51
2004,Apr,0
2004,May,35
2004,Jun,0
2004,Jul,18
2004,Aug,0
2004,Sep,0
2004,Oct,33
2004,Nov,17
2004,Dec,30
2005,Jan,0
2005,Feb,14
2005,Mar,12
2005,Apr,0
2005,May,24
2005,Jun,25
2005,Jul,24
2005,Aug,11
2005,Sep,21
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,9
2006,Mar,8
2006,Apr,0
2006,May,0
2006,Jun,8
2006,Jul,8
2006,Aug,0
2006,Sep,15
2006,Oct,7
2006,Nov,0
2006,Dec,7
2007,Jan,0
2007,Feb,19
2007,Mar,23
2007,Apr,6
2007,May,0
2007,Jun,0
2007,Jul,16
2007,Aug,5
2007,Sep,15
2007,Oct,14
2007,Nov,0
2007,Dec,5
2008,Jan,4
2008,Feb,17
2008,Mar,12
2008,Apr,0
2008,May,0
2008,Jun,4
2008,Jul,4
2008,Aug,0
2008,Sep,8
2008,Oct,0
2008,Nov,0
2008,Dec,0
2009,Jan,4
2009,Feb,8
2009,Mar,7
2009,Apr,7
2009,May,4
2009,Jun,4
2009,Jul,11
2009,Aug,10
2009,Sep,3
2009,Oct,6
2009,Nov,3
2009,Dec,0
2010,Jan,0
2010,Feb,3
2010,Mar,9
2010,Apr,3
2010,May,0
2010,Jun,3
2010,Jul,0
2010,Aug,3
2010,Sep,13
2010,Oct,2
2010,Nov,2
2010,Dec,34
2011,Jan,13
2011,Feb,4
2011,Mar,2
2011,Apr,6
2011,May,2
2011,Jun,8
2011,Jul,7
2011,Aug,5
2011,Sep,3
2011,Oct,2
2011,Nov,2
2011,Dec,6
2012,Jan,12
2012,Feb,0
2012,Mar,1
2012,Apr,0
2012,May,1
2012,Jun,3
2012,Jul,3
2012,Aug,4
2012,Sep,1
2012,Oct,4
2012,Nov,3
2012,Dec,1
2013,Jan,4
2013,Feb,4
2013,Mar,0
2013,Apr,2
2013,May,1
2013,Jun,5
2013,Jul,4
2013,Aug,1
2013,Sep,4
2013,Oct,3
2013,Nov,59
2013,Dec,13
2014,Jan,16
2014,Feb,9
2014,Mar,2
2014,Apr,7
2014,May,6
2014,Jun,0
2014,Jul,4
2014,Aug,5
2014,Sep,8
2014,Oct,7
2014,Nov,100
2014,Dec,10
2015,Jan,6
2015,Feb,4
2015,Mar,2
2015,Apr,8
2015,May,1
2015,Jun,5
2015,Jul,4
2015,Aug,4
2015,Sep,13
2015,Oct,7
2015,Nov,6
2015,Dec,5
2016,Jan,3
2016,Feb,2
2016,Mar,0
2016,Apr,4
2016,May,3
2016,Jun,2
2016,Jul,2
2016,Aug,3
2016,Sep,0
2016,Oct,1
2016,Nov,1
2016,Dec,2
2017,Jan,0
2017,Feb,2
2017,Mar,3
2017,Apr,0
2017,May,1
2017,Jun,2
2017,Jul,0
2017,Aug,1
2017,Sep,1
2017,Oct,0
2017,Nov,1
2017,Dec,2
2018,Jan,1
2018,Feb,2
2018,Mar,1
2018,Apr,1
2018,May,5
2018,Jun,2
2018,Jul,0
2018,Aug,2
2018,Sep,2
2018,Oct,1
2018,Nov,1
2018,Dec,0
2019,Jan,0
2019,Feb,1
2019,Mar,1
2019,Apr,4
2019,May,1
2019,Jun,2
2019,Jul,1
2019,Aug,1
2019,Sep,1
2019,Oct,1
2019,Nov,2
2019,Dec,0
2020,Jan,2
2020,Feb,1
2020,Mar,0
2020,Apr,0
2020,May,1
2020,Jun,1
2020,Jul,0
2020,Aug,1
2020,Sep,1
2020,Oct,0
2020,Nov,0
2020,Dec,0
2021,Jan,0
