Owner:,BUSHNELL NOLAN K
Cname:,UWINK INC
Google Trends Search Term:,Nolan Bushnell
Google Trends Suggestion:,American businessman
Category:,Reliable

Year,Month,SVI Data
2004,Jan,40
2004,Feb,55
2004,Mar,40
2004,Apr,53
2004,May,21
2004,Jun,36
2004,Jul,22
2004,Aug,20
2004,Sep,38
2004,Oct,32
2004,Nov,53
2004,Dec,53
2005,Jan,31
2005,Feb,38
2005,Mar,51
2005,Apr,21
2005,May,43
2005,Jun,34
2005,Jul,10
2005,Aug,23
2005,Sep,71
2005,Oct,24
2005,Nov,24
2005,Dec,38
2006,Jan,24
2006,Feb,28
2006,Mar,28
2006,Apr,23
2006,May,31
2006,Jun,10
2006,Jul,22
2006,Aug,15
2006,Sep,15
2006,Oct,24
2006,Nov,37
2006,Dec,13
2007,Jan,16
2007,Feb,15
2007,Mar,25
2007,Apr,11
2007,May,10
2007,Jun,20
2007,Jul,13
2007,Aug,16
2007,Sep,22
2007,Oct,30
2007,Nov,23
2007,Dec,24
2008,Jan,11
2008,Feb,10
2008,Mar,30
2008,Apr,19
2008,May,21
2008,Jun,89
2008,Jul,13
2008,Aug,12
2008,Sep,18
2008,Oct,17
2008,Nov,15
2008,Dec,24
2009,Jan,20
2009,Feb,15
2009,Mar,23
2009,Apr,15
2009,May,22
2009,Jun,7
2009,Jul,11
2009,Aug,16
2009,Sep,18
2009,Oct,10
2009,Nov,10
2009,Dec,14
2010,Jan,10
2010,Feb,19
2010,Mar,11
2010,Apr,19
2010,May,17
2010,Jun,7
2010,Jul,7
2010,Aug,10
2010,Sep,14
2010,Oct,11
2010,Nov,16
2010,Dec,9
2011,Jan,19
2011,Feb,16
2011,Mar,12
2011,Apr,16
2011,May,14
2011,Jun,11
2011,Jul,11
2011,Aug,18
2011,Sep,12
2011,Oct,22
2011,Nov,20
2011,Dec,12
2012,Jan,23
2012,Feb,17
2012,Mar,20
2012,Apr,12
2012,May,15
2012,Jun,12
2012,Jul,18
2012,Aug,12
2012,Sep,44
2012,Oct,15
2012,Nov,14
2012,Dec,9
2013,Jan,18
2013,Feb,18
2013,Mar,12
2013,Apr,24
2013,May,14
2013,Jun,10
2013,Jul,10
2013,Aug,11
2013,Sep,19
2013,Oct,18
2013,Nov,10
2013,Dec,9
2014,Jan,14
2014,Feb,11
2014,Mar,19
2014,Apr,10
2014,May,14
2014,Jun,4
2014,Jul,12
2014,Aug,17
2014,Sep,11
2014,Oct,15
2014,Nov,15
2014,Dec,22
2015,Jan,15
2015,Feb,14
2015,Mar,13
2015,Apr,19
2015,May,8
2015,Jun,12
2015,Jul,9
2015,Aug,10
2015,Sep,10
2015,Oct,11
2015,Nov,13
2015,Dec,13
2016,Jan,10
2016,Feb,8
2016,Mar,11
2016,Apr,15
2016,May,18
2016,Jun,10
2016,Jul,8
2016,Aug,8
2016,Sep,6
2016,Oct,15
2016,Nov,10
2016,Dec,14
2017,Jan,11
2017,Feb,15
2017,Mar,100
2017,Apr,13
2017,May,11
2017,Jun,9
2017,Jul,7
2017,Aug,14
2017,Sep,11
2017,Oct,9
2017,Nov,13
2017,Dec,9
2018,Jan,20
2018,Feb,26
2018,Mar,16
2018,Apr,15
2018,May,10
2018,Jun,11
2018,Jul,7
2018,Aug,12
2018,Sep,13
2018,Oct,9
2018,Nov,8
2018,Dec,15
2019,Jan,13
2019,Feb,13
2019,Mar,10
2019,Apr,10
2019,May,9
2019,Jun,12
2019,Jul,11
2019,Aug,6
2019,Sep,9
2019,Oct,9
2019,Nov,8
2019,Dec,8
2020,Jan,11
2020,Feb,9
2020,Mar,4
2020,Apr,6
2020,May,7
2020,Jun,12
2020,Jul,11
2020,Aug,20
2020,Sep,14
2020,Oct,11
2020,Nov,10
2020,Dec,10
2021,Jan,7
