Owner:,CHEN WANG
Cname:,SHENGKAI INNOVATIONS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,35
2004,Feb,34
2004,Mar,99
2004,Apr,100
2004,May,61
2004,Jun,47
2004,Jul,32
2004,Aug,43
2004,Sep,97
2004,Oct,57
2004,Nov,51
2004,Dec,84
2005,Jan,68
2005,Feb,48
2005,Mar,66
2005,Apr,76
2005,May,73
2005,Jun,69
2005,Jul,84
2005,Aug,54
2005,Sep,69
2005,Oct,69
2005,Nov,44
2005,Dec,58
2006,Jan,45
2006,Feb,73
2006,Mar,55
2006,Apr,65
2006,May,61
2006,Jun,36
2006,Jul,42
2006,Aug,51
2006,Sep,29
2006,Oct,44
2006,Nov,29
2006,Dec,23
2007,Jan,33
2007,Feb,38
2007,Mar,39
2007,Apr,40
2007,May,52
2007,Jun,36
2007,Jul,59
2007,Aug,57
2007,Sep,59
2007,Oct,59
2007,Nov,47
2007,Dec,37
2008,Jan,43
2008,Feb,42
2008,Mar,49
2008,Apr,53
2008,May,50
2008,Jun,36
2008,Jul,47
2008,Aug,86
2008,Sep,41
2008,Oct,49
2008,Nov,39
2008,Dec,26
2009,Jan,42
2009,Feb,29
2009,Mar,39
2009,Apr,27
2009,May,46
2009,Jun,51
2009,Jul,38
2009,Aug,36
2009,Sep,26
2009,Oct,26
2009,Nov,42
2009,Dec,33
2010,Jan,33
2010,Feb,42
2010,Mar,32
2010,Apr,37
2010,May,50
2010,Jun,25
2010,Jul,33
2010,Aug,42
2010,Sep,36
2010,Oct,37
2010,Nov,30
2010,Dec,31
2011,Jan,19
2011,Feb,31
2011,Mar,27
2011,Apr,23
2011,May,34
2011,Jun,28
2011,Jul,27
2011,Aug,32
2011,Sep,28
2011,Oct,32
2011,Nov,30
2011,Dec,28
2012,Jan,20
2012,Feb,31
2012,Mar,27
2012,Apr,39
2012,May,21
2012,Jun,21
2012,Jul,26
2012,Aug,40
2012,Sep,31
2012,Oct,24
2012,Nov,29
2012,Dec,21
2013,Jan,21
2013,Feb,26
2013,Mar,25
2013,Apr,22
2013,May,24
2013,Jun,20
2013,Jul,29
2013,Aug,21
2013,Sep,24
2013,Oct,21
2013,Nov,22
2013,Dec,17
2014,Jan,21
2014,Feb,29
2014,Mar,24
2014,Apr,26
2014,May,40
2014,Jun,25
2014,Jul,27
2014,Aug,23
2014,Sep,24
2014,Oct,25
2014,Nov,23
2014,Dec,19
2015,Jan,22
2015,Feb,24
2015,Mar,23
2015,Apr,22
2015,May,27
2015,Jun,34
2015,Jul,30
2015,Aug,25
2015,Sep,22
2015,Oct,30
2015,Nov,30
2015,Dec,22
2016,Jan,30
2016,Feb,27
2016,Mar,26
2016,Apr,29
2016,May,29
2016,Jun,17
2016,Jul,24
2016,Aug,23
2016,Sep,27
2016,Oct,21
2016,Nov,30
2016,Dec,28
2017,Jan,21
2017,Feb,31
2017,Mar,28
2017,Apr,27
2017,May,22
2017,Jun,20
2017,Jul,25
2017,Aug,26
2017,Sep,27
2017,Oct,24
2017,Nov,21
2017,Dec,27
2018,Jan,31
2018,Feb,42
2018,Mar,39
2018,Apr,32
2018,May,24
2018,Jun,20
2018,Jul,43
2018,Aug,39
2018,Sep,38
2018,Oct,30
2018,Nov,40
2018,Dec,35
2019,Jan,36
2019,Feb,33
2019,Mar,32
2019,Apr,28
2019,May,25
2019,Jun,45
2019,Jul,35
2019,Aug,27
2019,Sep,26
2019,Oct,25
2019,Nov,28
2019,Dec,21
2020,Jan,34
2020,Feb,34
2020,Mar,26
2020,Apr,31
2020,May,32
2020,Jun,31
2020,Jul,30
2020,Aug,36
2020,Sep,27
2020,Oct,38
2020,Nov,49
2020,Dec,45
2021,Jan,35
2021,Feb,32
2021,Mar,45
2021,Apr,27
2021,May,22
2021,Jun,27
2021,Jul,35
2021,Aug,23
2021,Sep,26
2021,Oct,45
2021,Nov,51
2021,Dec,40
2022,Jan,41
2022,Feb,62
2022,Mar,43
