Owner:,CHERRY RICHARD
Cname:,MERCER GOLD CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,49
2004,Feb,0
2004,Mar,61
2004,Apr,23
2004,May,63
2004,Jun,22
2004,Jul,22
2004,Aug,100
2004,Sep,76
2004,Oct,59
2004,Nov,60
2004,Dec,90
2005,Jan,31
2005,Feb,49
2005,Mar,14
2005,Apr,97
2005,May,43
2005,Jun,89
2005,Jul,87
2005,Aug,14
2005,Sep,76
2005,Oct,48
2005,Nov,85
2005,Dec,35
2006,Jan,52
2006,Feb,43
2006,Mar,76
2006,Apr,70
2006,May,19
2006,Jun,99
2006,Jul,29
2006,Aug,80
2006,Sep,89
2006,Oct,49
2006,Nov,32
2006,Dec,40
2007,Jan,64
2007,Feb,68
2007,Mar,14
2007,Apr,55
2007,May,76
2007,Jun,27
2007,Jul,63
2007,Aug,30
2007,Sep,66
2007,Oct,76
2007,Nov,27
2007,Dec,56
2008,Jan,49
2008,Feb,56
2008,Mar,60
2008,Apr,54
2008,May,54
2008,Jun,53
2008,Jul,45
2008,Aug,45
2008,Sep,50
2008,Oct,55
2008,Nov,33
2008,Dec,46
2009,Jan,52
2009,Feb,50
2009,Mar,82
2009,Apr,58
2009,May,21
2009,Jun,34
2009,Jul,42
2009,Aug,33
2009,Sep,52
2009,Oct,19
2009,Nov,31
2009,Dec,42
2010,Jan,51
2010,Feb,19
2010,Mar,17
2010,Apr,53
2010,May,74
2010,Jun,26
2010,Jul,19
2010,Aug,28
2010,Sep,42
2010,Oct,35
2010,Nov,55
2010,Dec,34
2011,Jan,49
2011,Feb,34
2011,Mar,50
2011,Apr,43
2011,May,66
2011,Jun,41
2011,Jul,40
2011,Aug,42
2011,Sep,37
2011,Oct,49
2011,Nov,40
2011,Dec,57
2012,Jan,41
2012,Feb,36
2012,Mar,42
2012,Apr,35
2012,May,47
2012,Jun,42
2012,Jul,33
2012,Aug,42
2012,Sep,43
2012,Oct,32
2012,Nov,31
2012,Dec,46
2013,Jan,44
2013,Feb,43
2013,Mar,52
2013,Apr,46
2013,May,34
2013,Jun,32
2013,Jul,40
2013,Aug,31
2013,Sep,27
2013,Oct,32
2013,Nov,36
2013,Dec,48
2014,Jan,43
2014,Feb,38
2014,Mar,44
2014,Apr,47
2014,May,47
2014,Jun,44
2014,Jul,24
2014,Aug,36
2014,Sep,33
2014,Oct,36
2014,Nov,28
2014,Dec,33
2015,Jan,32
2015,Feb,42
2015,Mar,40
2015,Apr,38
2015,May,39
2015,Jun,41
2015,Jul,44
2015,Aug,29
2015,Sep,30
2015,Oct,40
2015,Nov,36
2015,Dec,42
2016,Jan,31
2016,Feb,35
2016,Mar,30
2016,Apr,42
2016,May,33
2016,Jun,33
2016,Jul,41
2016,Aug,29
2016,Sep,37
2016,Oct,30
2016,Nov,38
2016,Dec,25
2017,Jan,50
2017,Feb,40
2017,Mar,42
2017,Apr,34
2017,May,38
2017,Jun,36
2017,Jul,31
2017,Aug,34
2017,Sep,25
2017,Oct,37
2017,Nov,29
2017,Dec,19
2018,Jan,34
2018,Feb,31
2018,Mar,36
2018,Apr,33
2018,May,23
2018,Jun,29
2018,Jul,33
2018,Aug,33
2018,Sep,23
2018,Oct,28
2018,Nov,34
2018,Dec,26
2019,Jan,34
2019,Feb,39
2019,Mar,27
2019,Apr,27
2019,May,32
2019,Jun,41
2019,Jul,30
2019,Aug,33
2019,Sep,23
2019,Oct,33
2019,Nov,23
2019,Dec,31
2020,Jan,27
2020,Feb,38
2020,Mar,29
2020,Apr,32
2020,May,30
2020,Jun,26
2020,Jul,37
2020,Aug,28
2020,Sep,23
2020,Oct,20
2020,Nov,22
2020,Dec,35
2021,Jan,31
2021,Feb,25
2021,Mar,32
2021,Apr,25
2021,May,26
2021,Jun,39
2021,Jul,34
2021,Aug,35
2021,Sep,22
2021,Oct,31
2021,Nov,31
2021,Dec,26
2022,Jan,31
2022,Feb,33
2022,Mar,33
