Owner:,GINSBERG DAVID
Cname:,ENCORIUM GROUP INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,77
2004,Feb,25
2004,Mar,0
2004,Apr,49
2004,May,44
2004,Jun,23
2004,Jul,47
2004,Aug,0
2004,Sep,20
2004,Oct,21
2004,Nov,63
2004,Dec,0
2005,Jan,33
2005,Feb,35
2005,Mar,15
2005,Apr,68
2005,May,15
2005,Jun,93
2005,Jul,61
2005,Aug,29
2005,Sep,53
2005,Oct,100
2005,Nov,13
2005,Dec,36
2006,Jan,22
2006,Feb,78
2006,Mar,70
2006,Apr,42
2006,May,20
2006,Jun,42
2006,Jul,51
2006,Aug,28
2006,Sep,28
2006,Oct,34
2006,Nov,42
2006,Dec,17
2007,Jan,60
2007,Feb,24
2007,Mar,29
2007,Apr,7
2007,May,46
2007,Jun,49
2007,Jul,33
2007,Aug,63
2007,Sep,38
2007,Oct,46
2007,Nov,40
2007,Dec,47
2008,Jan,31
2008,Feb,22
2008,Mar,26
2008,Apr,41
2008,May,52
2008,Jun,11
2008,Jul,11
2008,Aug,10
2008,Sep,43
2008,Oct,44
2008,Nov,20
2008,Dec,58
2009,Jan,18
2009,Feb,38
2009,Mar,30
2009,Apr,22
2009,May,58
2009,Jun,31
2009,Jul,44
2009,Aug,4
2009,Sep,25
2009,Oct,40
2009,Nov,33
2009,Dec,36
2010,Jan,19
2010,Feb,27
2010,Mar,24
2010,Apr,25
2010,May,23
2010,Jun,23
2010,Jul,26
2010,Aug,25
2010,Sep,15
2010,Oct,30
2010,Nov,26
2010,Dec,9
2011,Jan,14
2011,Feb,17
2011,Mar,18
2011,Apr,16
2011,May,25
2011,Jun,12
2011,Jul,18
2011,Aug,13
2011,Sep,15
2011,Oct,20
2011,Nov,20
2011,Dec,16
2012,Jan,22
2012,Feb,22
2012,Mar,25
2012,Apr,21
2012,May,18
2012,Jun,22
2012,Jul,21
2012,Aug,12
2012,Sep,19
2012,Oct,18
2012,Nov,17
2012,Dec,16
2013,Jan,9
2013,Feb,23
2013,Mar,13
2013,Apr,13
2013,May,30
2013,Jun,17
2013,Jul,11
2013,Aug,22
2013,Sep,22
2013,Oct,23
2013,Nov,23
2013,Dec,17
2014,Jan,17
2014,Feb,25
2014,Mar,26
2014,Apr,28
2014,May,24
2014,Jun,20
2014,Jul,42
2014,Aug,35
2014,Sep,39
2014,Oct,21
2014,Nov,28
2014,Dec,37
2015,Jan,27
2015,Feb,32
2015,Mar,29
2015,Apr,26
2015,May,16
2015,Jun,30
2015,Jul,18
2015,Aug,25
2015,Sep,25
2015,Oct,19
2015,Nov,15
2015,Dec,18
2016,Jan,18
2016,Feb,24
2016,Mar,14
2016,Apr,26
2016,May,10
2016,Jun,14
2016,Jul,13
2016,Aug,14
2016,Sep,11
2016,Oct,24
2016,Nov,21
2016,Dec,28
2017,Jan,11
2017,Feb,9
2017,Mar,21
2017,Apr,17
2017,May,18
2017,Jun,16
2017,Jul,12
2017,Aug,13
2017,Sep,12
2017,Oct,13
2017,Nov,11
2017,Dec,17
2018,Jan,10
2018,Feb,13
2018,Mar,10
2018,Apr,23
2018,May,12
2018,Jun,9
2018,Jul,14
2018,Aug,15
2018,Sep,15
2018,Oct,14
2018,Nov,19
2018,Dec,8
2019,Jan,23
2019,Feb,14
2019,Mar,19
2019,Apr,14
2019,May,13
2019,Jun,18
2019,Jul,10
2019,Aug,15
2019,Sep,10
2019,Oct,8
2019,Nov,22
2019,Dec,9
2020,Jan,13
2020,Feb,21
2020,Mar,8
2020,Apr,9
2020,May,11
2020,Jun,12
2020,Jul,8
2020,Aug,13
2020,Sep,19
2020,Oct,12
2020,Nov,21
2020,Dec,8
2021,Jan,11
2021,Feb,7
2021,Mar,13
2021,Apr,12
2021,May,6
2021,Jun,11
2021,Jul,7
2021,Aug,12
2021,Sep,11
2021,Oct,14
2021,Nov,4
2021,Dec,4
2022,Jan,7
2022,Feb,11
2022,Mar,6
