Owner:,BISSELL JOHN
Cname:,ORIGIN MATERIALS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,32
2004,Feb,0
2004,Mar,40
2004,Apr,0
2004,May,0
2004,Jun,56
2004,Jul,0
2004,Aug,52
2004,Sep,100
2004,Oct,51
2004,Nov,53
2004,Dec,0
2005,Jan,21
2005,Feb,22
2005,Mar,0
2005,Apr,21
2005,May,19
2005,Jun,39
2005,Jul,19
2005,Aug,54
2005,Sep,50
2005,Oct,31
2005,Nov,16
2005,Dec,0
2006,Jan,41
2006,Feb,56
2006,Mar,25
2006,Apr,39
2006,May,25
2006,Jun,13
2006,Jul,38
2006,Aug,12
2006,Sep,12
2006,Oct,21
2006,Nov,0
2006,Dec,21
2007,Jan,9
2007,Feb,20
2007,Mar,27
2007,Apr,9
2007,May,41
2007,Jun,18
2007,Jul,17
2007,Aug,8
2007,Sep,39
2007,Oct,7
2007,Nov,21
2007,Dec,15
2008,Jan,26
2008,Feb,27
2008,Mar,39
2008,Apr,32
2008,May,19
2008,Jun,7
2008,Jul,7
2008,Aug,26
2008,Sep,30
2008,Oct,33
2008,Nov,12
2008,Dec,18
2009,Jan,23
2009,Feb,12
2009,Mar,16
2009,Apr,27
2009,May,11
2009,Jun,17
2009,Jul,33
2009,Aug,16
2009,Sep,21
2009,Oct,10
2009,Nov,25
2009,Dec,15
2010,Jan,9
2010,Feb,21
2010,Mar,10
2010,Apr,10
2010,May,16
2010,Jun,16
2010,Jul,14
2010,Aug,27
2010,Sep,17
2010,Oct,8
2010,Nov,4
2010,Dec,4
2011,Jan,13
2011,Feb,14
2011,Mar,19
2011,Apr,26
2011,May,6
2011,Jun,3
2011,Jul,3
2011,Aug,9
2011,Sep,18
2011,Oct,11
2011,Nov,17
2011,Dec,8
2012,Jan,13
2012,Feb,3
2012,Mar,10
2012,Apr,16
2012,May,5
2012,Jun,13
2012,Jul,22
2012,Aug,12
2012,Sep,15
2012,Oct,16
2012,Nov,19
2012,Dec,13
2013,Jan,21
2013,Feb,16
2013,Mar,18
2013,Apr,13
2013,May,15
2013,Jun,15
2013,Jul,11
2013,Aug,15
2013,Sep,19
2013,Oct,14
2013,Nov,4
2013,Dec,6
2014,Jan,14
2014,Feb,17
2014,Mar,8
2014,Apr,10
2014,May,4
2014,Jun,12
2014,Jul,7
2014,Aug,18
2014,Sep,11
2014,Oct,10
2014,Nov,13
2014,Dec,22
2015,Jan,15
2015,Feb,11
2015,Mar,25
2015,Apr,17
2015,May,16
2015,Jun,5
2015,Jul,5
2015,Aug,18
2015,Sep,11
2015,Oct,10
2015,Nov,8
2015,Dec,25
2016,Jan,7
2016,Feb,9
2016,Mar,9
2016,Apr,6
2016,May,6
2016,Jun,10
2016,Jul,18
2016,Aug,10
2016,Sep,8
2016,Oct,9
2016,Nov,3
2016,Dec,7
2017,Jan,18
2017,Feb,10
2017,Mar,9
2017,Apr,13
2017,May,7
2017,Jun,9
2017,Jul,11
2017,Aug,16
2017,Sep,19
2017,Oct,18
2017,Nov,10
2017,Dec,24
2018,Jan,24
2018,Feb,25
2018,Mar,14
2018,Apr,11
2018,May,11
2018,Jun,13
2018,Jul,23
2018,Aug,13
2018,Sep,14
2018,Oct,8
2018,Nov,11
2018,Dec,10
2019,Jan,5
2019,Feb,16
2019,Mar,4
2019,Apr,11
2019,May,8
2019,Jun,20
2019,Jul,13
2019,Aug,8
2019,Sep,11
2019,Oct,10
2019,Nov,13
2019,Dec,14
2020,Jan,23
2020,Feb,11
2020,Mar,9
2020,Apr,13
2020,May,13
2020,Jun,14
2020,Jul,12
2020,Aug,11
2020,Sep,9
2020,Oct,14
2020,Nov,14
2020,Dec,12
2021,Jan,13
2021,Feb,16
2021,Mar,13
2021,Apr,11
2021,May,12
2021,Jun,19
2021,Jul,14
2021,Aug,10
2021,Sep,14
2021,Oct,17
2021,Nov,12
2021,Dec,14
2022,Jan,13
2022,Feb,13
2022,Mar,11
