Owner:,GARY JEFF
Cname:,INSIGHT ACQUISITION CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,100
2004,Feb,86
2004,Mar,51
2004,Apr,61
2004,May,92
2004,Jun,78
2004,Jul,32
2004,Aug,63
2004,Sep,74
2004,Oct,71
2004,Nov,78
2004,Dec,69
2005,Jan,76
2005,Feb,56
2005,Mar,75
2005,Apr,62
2005,May,77
2005,Jun,43
2005,Jul,78
2005,Aug,60
2005,Sep,55
2005,Oct,63
2005,Nov,80
2005,Dec,90
2006,Jan,73
2006,Feb,54
2006,Mar,57
2006,Apr,39
2006,May,75
2006,Jun,46
2006,Jul,70
2006,Aug,81
2006,Sep,60
2006,Oct,45
2006,Nov,43
2006,Dec,55
2007,Jan,58
2007,Feb,46
2007,Mar,69
2007,Apr,48
2007,May,63
2007,Jun,47
2007,Jul,46
2007,Aug,51
2007,Sep,61
2007,Oct,45
2007,Nov,42
2007,Dec,45
2008,Jan,49
2008,Feb,48
2008,Mar,60
2008,Apr,52
2008,May,50
2008,Jun,52
2008,Jul,43
2008,Aug,45
2008,Sep,49
2008,Oct,57
2008,Nov,77
2008,Dec,61
2009,Jan,60
2009,Feb,52
2009,Mar,54
2009,Apr,30
2009,May,39
2009,Jun,43
2009,Jul,34
2009,Aug,39
2009,Sep,35
2009,Oct,35
2009,Nov,32
2009,Dec,43
2010,Jan,43
2010,Feb,43
2010,Mar,31
2010,Apr,42
2010,May,40
2010,Jun,38
2010,Jul,34
2010,Aug,31
2010,Sep,27
2010,Oct,29
2010,Nov,28
2010,Dec,39
2011,Jan,39
2011,Feb,37
2011,Mar,36
2011,Apr,34
2011,May,38
2011,Jun,31
2011,Jul,26
2011,Aug,31
2011,Sep,30
2011,Oct,24
2011,Nov,31
2011,Dec,31
2012,Jan,29
2012,Feb,34
2012,Mar,33
2012,Apr,35
2012,May,27
2012,Jun,28
2012,Jul,31
2012,Aug,32
2012,Sep,27
2012,Oct,31
2012,Nov,25
2012,Dec,31
2013,Jan,32
2013,Feb,26
2013,Mar,36
2013,Apr,31
2013,May,27
2013,Jun,27
2013,Jul,31
2013,Aug,27
2013,Sep,29
2013,Oct,26
2013,Nov,26
2013,Dec,24
2014,Jan,27
2014,Feb,36
2014,Mar,29
2014,Apr,31
2014,May,32
2014,Jun,22
2014,Jul,24
2014,Aug,22
2014,Sep,23
2014,Oct,29
2014,Nov,28
2014,Dec,22
2015,Jan,31
2015,Feb,20
2015,Mar,31
2015,Apr,33
2015,May,21
2015,Jun,21
2015,Jul,27
2015,Aug,25
2015,Sep,26
2015,Oct,24
2015,Nov,25
2015,Dec,26
2016,Jan,17
2016,Feb,30
2016,Mar,26
2016,Apr,32
2016,May,28
2016,Jun,27
2016,Jul,27
2016,Aug,25
2016,Sep,27
2016,Oct,18
2016,Nov,21
2016,Dec,24
2017,Jan,31
2017,Feb,24
2017,Mar,25
2017,Apr,24
2017,May,21
2017,Jun,21
2017,Jul,22
2017,Aug,29
2017,Sep,19
2017,Oct,27
2017,Nov,23
2017,Dec,30
2018,Jan,25
2018,Feb,26
2018,Mar,24
2018,Apr,17
2018,May,26
2018,Jun,24
2018,Jul,21
2018,Aug,27
2018,Sep,20
2018,Oct,22
2018,Nov,26
2018,Dec,25
2019,Jan,30
2019,Feb,23
2019,Mar,20
2019,Apr,20
2019,May,20
2019,Jun,18
2019,Jul,21
2019,Aug,20
2019,Sep,20
2019,Oct,20
2019,Nov,18
2019,Dec,20
2020,Jan,25
2020,Feb,21
2020,Mar,15
2020,Apr,21
2020,May,22
2020,Jun,14
2020,Jul,27
2020,Aug,21
2020,Sep,17
2020,Oct,31
2020,Nov,19
2020,Dec,20
2021,Jan,22
2021,Feb,17
2021,Mar,19
2021,Apr,18
2021,May,21
2021,Jun,25
2021,Jul,32
2021,Aug,23
2021,Sep,18
2021,Oct,22
2021,Nov,28
2021,Dec,39
2022,Jan,23
2022,Feb,24
2022,Mar,22
