Owner:,GREEN CHARLES
Cname:,CICERO RESOURCES CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,55
2004,Feb,61
2004,Mar,77
2004,Apr,23
2004,May,69
2004,Jun,34
2004,Jul,54
2004,Aug,54
2004,Sep,73
2004,Oct,58
2004,Nov,57
2004,Dec,33
2005,Jan,60
2005,Feb,61
2005,Mar,52
2005,Apr,57
2005,May,51
2005,Jun,52
2005,Jul,52
2005,Aug,39
2005,Sep,50
2005,Oct,61
2005,Nov,59
2005,Dec,38
2006,Jan,35
2006,Feb,45
2006,Mar,47
2006,Apr,52
2006,May,41
2006,Jun,42
2006,Jul,43
2006,Aug,51
2006,Sep,40
2006,Oct,51
2006,Nov,39
2006,Dec,46
2007,Jan,38
2007,Feb,38
2007,Mar,41
2007,Apr,37
2007,May,49
2007,Jun,46
2007,Jul,41
2007,Aug,44
2007,Sep,41
2007,Oct,41
2007,Nov,46
2007,Dec,39
2008,Jan,46
2008,Feb,38
2008,Mar,42
2008,Apr,51
2008,May,34
2008,Jun,45
2008,Jul,53
2008,Aug,46
2008,Sep,37
2008,Oct,49
2008,Nov,39
2008,Dec,49
2009,Jan,46
2009,Feb,46
2009,Mar,52
2009,Apr,48
2009,May,44
2009,Jun,39
2009,Jul,41
2009,Aug,42
2009,Sep,53
2009,Oct,49
2009,Nov,44
2009,Dec,47
2010,Jan,47
2010,Feb,40
2010,Mar,57
2010,Apr,54
2010,May,53
2010,Jun,44
2010,Jul,43
2010,Aug,41
2010,Sep,44
2010,Oct,46
2010,Nov,40
2010,Dec,44
2011,Jan,67
2011,Feb,78
2011,Mar,49
2011,Apr,57
2011,May,42
2011,Jun,48
2011,Jul,44
2011,Aug,45
2011,Sep,46
2011,Oct,41
2011,Nov,44
2011,Dec,46
2012,Jan,52
2012,Feb,44
2012,Mar,41
2012,Apr,47
2012,May,54
2012,Jun,47
2012,Jul,41
2012,Aug,50
2012,Sep,61
2012,Oct,51
2012,Nov,41
2012,Dec,43
2013,Jan,44
2013,Feb,41
2013,Mar,49
2013,Apr,44
2013,May,49
2013,Jun,44
2013,Jul,43
2013,Aug,55
2013,Sep,47
2013,Oct,39
2013,Nov,44
2013,Dec,41
2014,Jan,46
2014,Feb,40
2014,Mar,41
2014,Apr,40
2014,May,46
2014,Jun,46
2014,Jul,49
2014,Aug,55
2014,Sep,63
2014,Oct,51
2014,Nov,49
2014,Dec,45
2015,Jan,44
2015,Feb,45
2015,Mar,45
2015,Apr,51
2015,May,42
2015,Jun,45
2015,Jul,58
2015,Aug,53
2015,Sep,61
2015,Oct,51
2015,Nov,55
2015,Dec,50
2016,Jan,54
2016,Feb,48
2016,Mar,51
2016,Apr,48
2016,May,51
2016,Jun,53
2016,Jul,53
2016,Aug,51
2016,Sep,54
2016,Oct,47
2016,Nov,45
2016,Dec,42
2017,Jan,51
2017,Feb,61
2017,Mar,57
2017,Apr,43
2017,May,51
2017,Jun,44
2017,Jul,43
2017,Aug,44
2017,Sep,48
2017,Oct,44
2017,Nov,50
2017,Dec,78
2018,Jan,44
2018,Feb,40
2018,Mar,43
2018,Apr,43
2018,May,100
2018,Jun,44
2018,Jul,44
2018,Aug,41
2018,Sep,43
2018,Oct,38
2018,Nov,40
2018,Dec,54
2019,Jan,43
2019,Feb,51
2019,Mar,47
2019,Apr,45
2019,May,65
2019,Jun,38
2019,Jul,41
2019,Aug,45
2019,Sep,42
2019,Oct,43
2019,Nov,43
2019,Dec,41
2020,Jan,46
2020,Feb,45
2020,Mar,72
2020,Apr,45
2020,May,47
2020,Jun,42
2020,Jul,42
2020,Aug,40
2020,Sep,46
2020,Oct,35
2020,Nov,36
2020,Dec,38
2021,Jan,41
2021,Feb,42
2021,Mar,42
2021,Apr,41
2021,May,41
2021,Jun,43
2021,Jul,47
2021,Aug,44
2021,Sep,34
2021,Oct,37
2021,Nov,63
2021,Dec,42
2022,Jan,43
2022,Feb,40
2022,Mar,36
