Owner:,LONG THOMAS E
Cname:,ENERGY TRANSFER LP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,100
2004,Feb,98
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,91
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,83
2004,Dec,74
2005,Jan,0
2005,Feb,0
2005,Mar,58
2005,Apr,66
2005,May,59
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,39
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,36
2006,Sep,0
2006,Oct,0
2006,Nov,33
2006,Dec,0
2007,Jan,0
2007,Feb,31
2007,Mar,28
2007,Apr,28
2007,May,26
2007,Jun,55
2007,Jul,52
2007,Aug,0
2007,Sep,50
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,20
2008,Feb,0
2008,Mar,21
2008,Apr,0
2008,May,20
2008,Jun,0
2008,Jul,21
2008,Aug,20
2008,Sep,19
2008,Oct,17
2008,Nov,19
2008,Dec,0
2009,Jan,36
2009,Feb,56
2009,Mar,0
2009,Apr,17
2009,May,17
2009,Jun,53
2009,Jul,0
2009,Aug,0
2009,Sep,0
2009,Oct,31
2009,Nov,0
2009,Dec,16
2010,Jan,15
2010,Feb,46
2010,Mar,42
2010,Apr,29
2010,May,30
2010,Jun,0
2010,Jul,0
2010,Aug,13
2010,Sep,12
2010,Oct,12
2010,Nov,36
2010,Dec,0
2011,Jan,9
2011,Feb,0
2011,Mar,27
2011,Apr,47
2011,May,0
2011,Jun,19
2011,Jul,46
2011,Aug,34
2011,Sep,51
2011,Oct,8
2011,Nov,25
2011,Dec,24
2012,Jan,7
2012,Feb,22
2012,Mar,29
2012,Apr,15
2012,May,36
2012,Jun,30
2012,Jul,0
2012,Aug,28
2012,Sep,21
2012,Oct,0
2012,Nov,13
2012,Dec,19
2013,Jan,18
2013,Feb,0
2013,Mar,12
2013,Apr,24
2013,May,36
2013,Jun,25
2013,Jul,0
2013,Aug,18
2013,Sep,30
2013,Oct,40
2013,Nov,24
2013,Dec,12
2014,Jan,28
2014,Feb,18
2014,Mar,22
2014,Apr,23
2014,May,24
2014,Jun,34
2014,Jul,26
2014,Aug,26
2014,Sep,31
2014,Oct,30
2014,Nov,32
2014,Dec,38
2015,Jan,36
2015,Feb,38
2015,Mar,24
2015,Apr,44
2015,May,13
2015,Jun,33
2015,Jul,7
2015,Aug,38
2015,Sep,31
2015,Oct,23
2015,Nov,24
2015,Dec,42
2016,Jan,44
2016,Feb,20
2016,Mar,34
2016,Apr,25
2016,May,25
2016,Jun,26
2016,Jul,21
2016,Aug,16
2016,Sep,5
2016,Oct,29
2016,Nov,15
2016,Dec,19
2017,Jan,18
2017,Feb,28
2017,Mar,13
2017,Apr,18
2017,May,28
2017,Jun,15
2017,Jul,15
2017,Aug,14
2017,Sep,18
2017,Oct,4
2017,Nov,22
2017,Dec,36
2018,Jan,9
2018,Feb,33
2018,Mar,26
2018,Apr,13
2018,May,26
2018,Jun,18
2018,Jul,36
2018,Aug,18
2018,Sep,41
2018,Oct,35
2018,Nov,18
2018,Dec,18
2019,Jan,30
2019,Feb,55
2019,Mar,21
2019,Apr,27
2019,May,26
2019,Jun,18
2019,Jul,31
2019,Aug,13
2019,Sep,25
2019,Oct,24
2019,Nov,16
2019,Dec,12
2020,Jan,23
2020,Feb,16
2020,Mar,14
2020,Apr,17
2020,May,17
2020,Jun,30
2020,Jul,19
2020,Aug,11
2020,Sep,33
2020,Oct,21
2020,Nov,20
2020,Dec,12
2021,Jan,24
2021,Feb,36
2021,Mar,24
2021,Apr,21
2021,May,13
2021,Jun,9
2021,Jul,26
2021,Aug,17
2021,Sep,9
2021,Oct,44
2021,Nov,23
2021,Dec,31
2022,Jan,35
2022,Feb,15
2022,Mar,13
