Owner:,STONE MARK
Cname:,GORES HOLDINGS III INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,29
2004,Feb,31
2004,Mar,27
2004,Apr,18
2004,May,15
2004,Jun,19
2004,Jul,11
2004,Aug,24
2004,Sep,36
2004,Oct,29
2004,Nov,16
2004,Dec,21
2005,Jan,20
2005,Feb,31
2005,Mar,19
2005,Apr,13
2005,May,24
2005,Jun,29
2005,Jul,23
2005,Aug,20
2005,Sep,21
2005,Oct,24
2005,Nov,16
2005,Dec,29
2006,Jan,15
2006,Feb,22
2006,Mar,20
2006,Apr,13
2006,May,20
2006,Jun,23
2006,Jul,29
2006,Aug,22
2006,Sep,26
2006,Oct,17
2006,Nov,13
2006,Dec,17
2007,Jan,18
2007,Feb,22
2007,Mar,15
2007,Apr,20
2007,May,21
2007,Jun,22
2007,Jul,21
2007,Aug,18
2007,Sep,24
2007,Oct,27
2007,Nov,25
2007,Dec,22
2008,Jan,18
2008,Feb,25
2008,Mar,19
2008,Apr,21
2008,May,22
2008,Jun,23
2008,Jul,26
2008,Aug,27
2008,Sep,23
2008,Oct,20
2008,Nov,20
2008,Dec,25
2009,Jan,19
2009,Feb,31
2009,Mar,20
2009,Apr,21
2009,May,21
2009,Jun,22
2009,Jul,22
2009,Aug,21
2009,Sep,25
2009,Oct,17
2009,Nov,22
2009,Dec,17
2010,Jan,25
2010,Feb,20
2010,Mar,25
2010,Apr,23
2010,May,20
2010,Jun,25
2010,Jul,18
2010,Aug,27
2010,Sep,21
2010,Oct,23
2010,Nov,17
2010,Dec,20
2011,Jan,26
2011,Feb,18
2011,Mar,23
2011,Apr,25
2011,May,24
2011,Jun,19
2011,Jul,17
2011,Aug,23
2011,Sep,22
2011,Oct,19
2011,Nov,20
2011,Dec,25
2012,Jan,23
2012,Feb,16
2012,Mar,18
2012,Apr,22
2012,May,22
2012,Jun,22
2012,Jul,26
2012,Aug,16
2012,Sep,18
2012,Oct,19
2012,Nov,21
2012,Dec,16
2013,Jan,21
2013,Feb,22
2013,Mar,19
2013,Apr,22
2013,May,19
2013,Jun,22
2013,Jul,21
2013,Aug,20
2013,Sep,21
2013,Oct,16
2013,Nov,16
2013,Dec,18
2014,Jan,21
2014,Feb,21
2014,Mar,22
2014,Apr,24
2014,May,20
2014,Jun,22
2014,Jul,21
2014,Aug,18
2014,Sep,17
2014,Oct,19
2014,Nov,20
2014,Dec,19
2015,Jan,25
2015,Feb,21
2015,Mar,22
2015,Apr,43
2015,May,22
2015,Jun,23
2015,Jul,18
2015,Aug,23
2015,Sep,22
2015,Oct,23
2015,Nov,19
2015,Dec,20
2016,Jan,22
2016,Feb,22
2016,Mar,22
2016,Apr,21
2016,May,20
2016,Jun,18
2016,Jul,22
2016,Aug,18
2016,Sep,19
2016,Oct,22
2016,Nov,19
2016,Dec,19
2017,Jan,22
2017,Feb,19
2017,Mar,20
2017,Apr,22
2017,May,24
2017,Jun,20
2017,Jul,20
2017,Aug,20
2017,Sep,21
2017,Oct,17
2017,Nov,20
2017,Dec,19
2018,Jan,21
2018,Feb,22
2018,Mar,24
2018,Apr,24
2018,May,21
2018,Jun,18
2018,Jul,19
2018,Aug,22
2018,Sep,20
2018,Oct,20
2018,Nov,18
2018,Dec,19
2019,Jan,24
2019,Feb,100
2019,Mar,35
2019,Apr,38
2019,May,20
2019,Jun,22
2019,Jul,18
2019,Aug,17
2019,Sep,22
2019,Oct,23
2019,Nov,22
2019,Dec,19
2020,Jan,19
2020,Feb,28
2020,Mar,24
2020,Apr,17
2020,May,20
2020,Jun,20
2020,Jul,24
2020,Aug,25
2020,Sep,27
2020,Oct,27
2020,Nov,18
2020,Dec,20
2021,Jan,26
2021,Feb,19
2021,Mar,31
2021,Apr,26
2021,May,36
2021,Jun,45
2021,Jul,20
2021,Aug,17
2021,Sep,18
2021,Oct,24
2021,Nov,23
2021,Dec,21
2022,Jan,20
2022,Feb,47
2022,Mar,24
