Owner:,HARDY JOHN A
Cname:,EQUUS TOTAL RETURN INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,35
2004,Jun,0
2004,Jul,37
2004,Aug,0
2004,Sep,0
2004,Oct,33
2004,Nov,34
2004,Dec,60
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,81
2005,May,0
2005,Jun,0
2005,Jul,24
2005,Aug,0
2005,Sep,21
2005,Oct,0
2005,Nov,0
2005,Dec,19
2006,Jan,17
2006,Feb,35
2006,Mar,16
2006,Apr,17
2006,May,16
2006,Jun,0
2006,Jul,0
2006,Aug,15
2006,Sep,30
2006,Oct,0
2006,Nov,40
2006,Dec,14
2007,Jan,12
2007,Feb,13
2007,Mar,57
2007,Apr,11
2007,May,42
2007,Jun,22
2007,Jul,11
2007,Aug,0
2007,Sep,30
2007,Oct,27
2007,Nov,36
2007,Dec,28
2008,Jan,33
2008,Feb,51
2008,Mar,33
2008,Apr,16
2008,May,66
2008,Jun,18
2008,Jul,25
2008,Aug,25
2008,Sep,8
2008,Oct,56
2008,Nov,39
2008,Dec,46
2009,Jan,43
2009,Feb,30
2009,Mar,41
2009,Apr,28
2009,May,49
2009,Jun,14
2009,Jul,49
2009,Aug,48
2009,Sep,100
2009,Oct,51
2009,Nov,52
2009,Dec,32
2010,Jan,42
2010,Feb,63
2010,Mar,74
2010,Apr,36
2010,May,56
2010,Jun,38
2010,Jul,22
2010,Aug,42
2010,Sep,35
2010,Oct,25
2010,Nov,53
2010,Dec,48
2011,Jan,34
2011,Feb,33
2011,Mar,26
2011,Apr,23
2011,May,37
2011,Jun,15
2011,Jul,30
2011,Aug,28
2011,Sep,14
2011,Oct,36
2011,Nov,7
2011,Dec,54
2012,Jan,18
2012,Feb,27
2012,Mar,26
2012,Apr,18
2012,May,23
2012,Jun,33
2012,Jul,44
2012,Aug,42
2012,Sep,26
2012,Oct,21
2012,Nov,25
2012,Dec,50
2013,Jan,37
2013,Feb,45
2013,Mar,29
2013,Apr,27
2013,May,37
2013,Jun,10
2013,Jul,42
2013,Aug,17
2013,Sep,31
2013,Oct,26
2013,Nov,24
2013,Dec,43
2014,Jan,25
2014,Feb,15
2014,Mar,22
2014,Apr,35
2014,May,12
2014,Jun,25
2014,Jul,30
2014,Aug,18
2014,Sep,18
2014,Oct,27
2014,Nov,29
2014,Dec,26
2015,Jan,17
2015,Feb,34
2015,Mar,17
2015,Apr,23
2015,May,31
2015,Jun,16
2015,Jul,29
2015,Aug,23
2015,Sep,38
2015,Oct,17
2015,Nov,32
2015,Dec,31
2016,Jan,22
2016,Feb,17
2016,Mar,33
2016,Apr,24
2016,May,20
2016,Jun,17
2016,Jul,10
2016,Aug,17
2016,Sep,24
2016,Oct,29
2016,Nov,31
2016,Dec,24
2017,Jan,18
2017,Feb,21
2017,Mar,32
2017,Apr,31
2017,May,19
2017,Jun,18
2017,Jul,25
2017,Aug,18
2017,Sep,11
2017,Oct,21
2017,Nov,16
2017,Dec,29
2018,Jan,19
2018,Feb,30
2018,Mar,22
2018,Apr,11
2018,May,26
2018,Jun,26
2018,Jul,16
2018,Aug,14
2018,Sep,29
2018,Oct,21
2018,Nov,25
2018,Dec,16
2019,Jan,22
2019,Feb,25
2019,Mar,19
2019,Apr,16
2019,May,23
2019,Jun,15
2019,Jul,23
2019,Aug,27
2019,Sep,22
2019,Oct,21
2019,Nov,21
2019,Dec,32
2020,Jan,29
2020,Feb,29
2020,Mar,24
2020,Apr,10
2020,May,22
2020,Jun,27
2020,Jul,18
2020,Aug,28
2020,Sep,22
2020,Oct,25
2020,Nov,16
2020,Dec,25
2021,Jan,21
2021,Feb,16
2021,Mar,21
2021,Apr,30
2021,May,19
2021,Jun,19
2021,Jul,29
2021,Aug,29
2021,Sep,20
2021,Oct,21
2021,Nov,20
2021,Dec,29
2022,Jan,23
2022,Feb,24
2022,Mar,14
