Owner:,THOMAS ROBERT W
Cname:,FOXHOLLOW TECHNOLOGIES INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,83
2004,Mar,0
2004,Apr,40
2004,May,74
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,100
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,82
2005,Feb,29
2005,Mar,0
2005,Apr,0
2005,May,25
2005,Jun,77
2005,Jul,0
2005,Aug,72
2005,Sep,44
2005,Oct,21
2005,Nov,0
2005,Dec,40
2006,Jan,36
2006,Feb,19
2006,Mar,17
2006,Apr,0
2006,May,82
2006,Jun,0
2006,Jul,17
2006,Aug,46
2006,Sep,0
2006,Oct,28
2006,Nov,14
2006,Dec,14
2007,Jan,25
2007,Feb,39
2007,Mar,12
2007,Apr,36
2007,May,44
2007,Jun,12
2007,Jul,33
2007,Aug,21
2007,Sep,21
2007,Oct,19
2007,Nov,9
2007,Dec,29
2008,Jan,26
2008,Feb,45
2008,Mar,35
2008,Apr,17
2008,May,0
2008,Jun,37
2008,Jul,18
2008,Aug,9
2008,Sep,16
2008,Oct,22
2008,Nov,24
2008,Dec,8
2009,Jan,38
2009,Feb,16
2009,Mar,36
2009,Apr,22
2009,May,15
2009,Jun,15
2009,Jul,37
2009,Aug,22
2009,Sep,42
2009,Oct,20
2009,Nov,7
2009,Dec,13
2010,Jan,6
2010,Feb,39
2010,Mar,42
2010,Apr,6
2010,May,19
2010,Jun,7
2010,Jul,11
2010,Aug,27
2010,Sep,42
2010,Oct,26
2010,Nov,10
2010,Dec,0
2011,Jan,8
2011,Feb,8
2011,Mar,8
2011,Apr,12
2011,May,8
2011,Jun,24
2011,Jul,0
2011,Aug,11
2011,Sep,18
2011,Oct,17
2011,Nov,24
2011,Dec,33
2012,Jan,25
2012,Feb,16
2012,Mar,12
2012,Apr,29
2012,May,21
2012,Jun,10
2012,Jul,9
2012,Aug,24
2012,Sep,15
2012,Oct,17
2012,Nov,14
2012,Dec,6
2013,Jan,26
2013,Feb,11
2013,Mar,15
2013,Apr,15
2013,May,23
2013,Jun,11
2013,Jul,8
2013,Aug,15
2013,Sep,33
2013,Oct,17
2013,Nov,15
2013,Dec,17
2014,Jan,24
2014,Feb,15
2014,Mar,23
2014,Apr,12
2014,May,23
2014,Jun,23
2014,Jul,11
2014,Aug,17
2014,Sep,11
2014,Oct,23
2014,Nov,22
2014,Dec,19
2015,Jan,18
2015,Feb,16
2015,Mar,10
2015,Apr,11
2015,May,19
2015,Jun,23
2015,Jul,11
2015,Aug,22
2015,Sep,16
2015,Oct,15
2015,Nov,21
2015,Dec,13
2016,Jan,17
2016,Feb,17
2016,Mar,8
2016,Apr,23
2016,May,19
2016,Jun,26
2016,Jul,11
2016,Aug,22
2016,Sep,15
2016,Oct,14
2016,Nov,16
2016,Dec,12
2017,Jan,11
2017,Feb,12
2017,Mar,13
2017,Apr,21
2017,May,14
2017,Jun,17
2017,Jul,21
2017,Aug,20
2017,Sep,21
2017,Oct,13
2017,Nov,6
2017,Dec,9
2018,Jan,13
2018,Feb,14
2018,Mar,14
2018,Apr,13
2018,May,13
2018,Jun,15
2018,Jul,8
2018,Aug,13
2018,Sep,11
2018,Oct,20
2018,Nov,13
2018,Dec,15
2019,Jan,11
2019,Feb,13
2019,Mar,16
2019,Apr,13
2019,May,13
2019,Jun,4
2019,Jul,21
2019,Aug,11
2019,Sep,14
2019,Oct,18
2019,Nov,7
2019,Dec,7
2020,Jan,11
2020,Feb,14
2020,Mar,10
2020,Apr,15
2020,May,23
2020,Jun,25
2020,Jul,14
2020,Aug,19
2020,Sep,14
2020,Oct,30
2020,Nov,22
2020,Dec,10
2021,Jan,13
2021,Feb,17
2021,Mar,10
2021,Apr,16
2021,May,12
2021,Jun,17
2021,Jul,11
2021,Aug,14
2021,Sep,6
2021,Oct,15
2021,Nov,10
2021,Dec,9
2022,Jan,11
2022,Feb,11
2022,Mar,17
