Owner:,MCMULLEN MICHAEL
Cname:,STILLWATER MINING CO
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,42
2004,Apr,32
2004,May,29
2004,Jun,0
2004,Jul,30
2004,Aug,27
2004,Sep,0
2004,Oct,54
2004,Nov,55
2004,Dec,0
2005,Jan,0
2005,Feb,23
2005,Mar,19
2005,Apr,44
2005,May,20
2005,Jun,20
2005,Jul,100
2005,Aug,19
2005,Sep,70
2005,Oct,16
2005,Nov,34
2005,Dec,32
2006,Jan,71
2006,Feb,0
2006,Mar,0
2006,Apr,27
2006,May,39
2006,Jun,27
2006,Jul,0
2006,Aug,36
2006,Sep,49
2006,Oct,22
2006,Nov,22
2006,Dec,56
2007,Jan,39
2007,Feb,21
2007,Mar,9
2007,Apr,9
2007,May,17
2007,Jun,28
2007,Jul,9
2007,Aug,17
2007,Sep,41
2007,Oct,7
2007,Nov,7
2007,Dec,23
2008,Jan,20
2008,Feb,14
2008,Mar,27
2008,Apr,7
2008,May,34
2008,Jun,22
2008,Jul,7
2008,Aug,27
2008,Sep,38
2008,Oct,29
2008,Nov,13
2008,Dec,13
2009,Jan,6
2009,Feb,19
2009,Mar,23
2009,Apr,6
2009,May,12
2009,Jun,12
2009,Jul,17
2009,Aug,17
2009,Sep,11
2009,Oct,16
2009,Nov,16
2009,Dec,26
2010,Jan,20
2010,Feb,11
2010,Mar,20
2010,Apr,15
2010,May,11
2010,Jun,16
2010,Jul,14
2010,Aug,23
2010,Sep,22
2010,Oct,4
2010,Nov,4
2010,Dec,17
2011,Jan,16
2011,Feb,7
2011,Mar,16
2011,Apr,40
2011,May,3
2011,Jun,20
2011,Jul,3
2011,Aug,3
2011,Sep,12
2011,Oct,11
2011,Nov,14
2011,Dec,14
2012,Jan,10
2012,Feb,13
2012,Mar,13
2012,Apr,16
2012,May,15
2012,Jun,11
2012,Jul,18
2012,Aug,22
2012,Sep,17
2012,Oct,5
2012,Nov,10
2012,Dec,16
2013,Jan,13
2013,Feb,7
2013,Mar,17
2013,Apr,13
2013,May,19
2013,Jun,16
2013,Jul,7
2013,Aug,17
2013,Sep,2
2013,Oct,32
2013,Nov,10
2013,Dec,15
2014,Jan,16
2014,Feb,21
2014,Mar,12
2014,Apr,10
2014,May,6
2014,Jun,2
2014,Jul,12
2014,Aug,11
2014,Sep,33
2014,Oct,11
2014,Nov,18
2014,Dec,13
2015,Jan,6
2015,Feb,23
2015,Mar,15
2015,Apr,9
2015,May,18
2015,Jun,14
2015,Jul,2
2015,Aug,9
2015,Sep,2
2015,Oct,25
2015,Nov,19
2015,Dec,8
2016,Jan,9
2016,Feb,4
2016,Mar,14
2016,Apr,15
2016,May,17
2016,Jun,21
2016,Jul,3
2016,Aug,10
2016,Sep,10
2016,Oct,15
2016,Nov,11
2016,Dec,5
2017,Jan,10
2017,Feb,14
2017,Mar,21
2017,Apr,13
2017,May,3
2017,Jun,15
2017,Jul,11
2017,Aug,11
2017,Sep,17
2017,Oct,10
2017,Nov,12
2017,Dec,13
2018,Jan,9
2018,Feb,11
2018,Mar,17
2018,Apr,9
2018,May,6
2018,Jun,9
2018,Jul,6
2018,Aug,10
2018,Sep,8
2018,Oct,12
2018,Nov,10
2018,Dec,15
2019,Jan,11
2019,Feb,14
2019,Mar,13
2019,Apr,6
2019,May,9
2019,Jun,8
2019,Jul,13
2019,Aug,17
2019,Sep,6
2019,Oct,4
2019,Nov,8
2019,Dec,14
2020,Jan,10
2020,Feb,8
2020,Mar,7
2020,Apr,6
2020,May,14
2020,Jun,7
2020,Jul,15
2020,Aug,10
2020,Sep,4
2020,Oct,11
2020,Nov,8
2020,Dec,10
2021,Jan,15
2021,Feb,8
2021,Mar,7
2021,Apr,11
2021,May,11
2021,Jun,20
2021,Jul,14
2021,Aug,4
2021,Sep,8
2021,Oct,9
2021,Nov,2
2021,Dec,9
2022,Jan,13
2022,Feb,10
2022,Mar,16
