date,Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
2006-11,2391,BROOKS DAVID H,N/A,N/A,0
2006-12,2391,BROOKS DAVID H,N/A,N/A,0
2007-01,2391,BROOKS DAVID H,N/A,N/A,10
2007-02,2391,BROOKS DAVID H,N/A,N/A,0
2007-03,2391,BROOKS DAVID H,N/A,N/A,10
2007-04,2391,BROOKS DAVID H,N/A,N/A,0
2007-05,2391,BROOKS DAVID H,N/A,N/A,0
2007-06,2391,BROOKS DAVID H,N/A,N/A,5
2007-07,2391,BROOKS DAVID H,N/A,N/A,0
2007-08,2391,BROOKS DAVID H,N/A,N/A,9
2007-09,2391,BROOKS DAVID H,N/A,N/A,4
2007-10,2391,BROOKS DAVID H,N/A,N/A,23
2007-11,2391,BROOKS DAVID H,N/A,N/A,16
2007-12,2391,BROOKS DAVID H,N/A,N/A,8
2008-01,2391,BROOKS DAVID H,N/A,N/A,14
2008-02,2391,BROOKS DAVID H,N/A,N/A,7
2008-03,2391,BROOKS DAVID H,N/A,N/A,4
2008-04,2391,BROOKS DAVID H,N/A,N/A,7
2008-05,2391,BROOKS DAVID H,N/A,N/A,4
2008-06,2391,BROOKS DAVID H,N/A,N/A,4
2008-07,2391,BROOKS DAVID H,N/A,N/A,4
2008-08,2391,BROOKS DAVID H,N/A,N/A,0
2008-09,2391,BROOKS DAVID H,N/A,N/A,0
2008-10,2391,BROOKS DAVID H,N/A,N/A,9
2008-11,2391,BROOKS DAVID H,N/A,N/A,3
2008-12,2391,BROOKS DAVID H,N/A,N/A,10
2009-01,2391,BROOKS DAVID H,N/A,N/A,15
2009-02,2391,BROOKS DAVID H,N/A,N/A,3
2009-03,2391,BROOKS DAVID H,N/A,N/A,6
2009-04,2391,BROOKS DAVID H,N/A,N/A,9
2009-05,2391,BROOKS DAVID H,N/A,N/A,6
2009-06,2391,BROOKS DAVID H,N/A,N/A,9
2009-07,2391,BROOKS DAVID H,N/A,N/A,6
2009-08,2391,BROOKS DAVID H,N/A,N/A,3
2009-09,2391,BROOKS DAVID H,N/A,N/A,3
2009-10,2391,BROOKS DAVID H,N/A,N/A,3
2009-11,2391,BROOKS DAVID H,N/A,N/A,3
2009-12,2391,BROOKS DAVID H,N/A,N/A,0
2010-01,2391,BROOKS DAVID H,N/A,N/A,13
2010-02,2391,BROOKS DAVID H,N/A,N/A,8
2010-03,2391,BROOKS DAVID H,N/A,N/A,15
2010-04,2391,BROOKS DAVID H,N/A,N/A,15
2010-05,2391,BROOKS DAVID H,N/A,N/A,5
2010-06,2391,BROOKS DAVID H,N/A,N/A,8
2010-07,2391,BROOKS DAVID H,N/A,N/A,16
2010-08,2391,BROOKS DAVID H,N/A,N/A,100
2010-09,2391,BROOKS DAVID H,N/A,N/A,13
2010-10,2391,BROOKS DAVID H,N/A,N/A,4
2010-11,2391,BROOKS DAVID H,N/A,N/A,2
2010-12,2391,BROOKS DAVID H,N/A,N/A,2
2011-01,2391,BROOKS DAVID H,N/A,N/A,5
2011-02,2391,BROOKS DAVID H,N/A,N/A,5
2011-03,2391,BROOKS DAVID H,N/A,N/A,3
2011-04,2391,BROOKS DAVID H,N/A,N/A,0
2011-05,2391,BROOKS DAVID H,N/A,N/A,0
2011-06,2391,BROOKS DAVID H,N/A,N/A,10
2011-07,2391,BROOKS DAVID H,N/A,N/A,2
2011-08,2391,BROOKS DAVID H,N/A,N/A,1
2011-09,2391,BROOKS DAVID H,N/A,N/A,3
2011-10,2391,BROOKS DAVID H,N/A,N/A,1
2011-11,2391,BROOKS DAVID H,N/A,N/A,1
2011-12,2391,BROOKS DAVID H,N/A,N/A,0
2012-01,2391,BROOKS DAVID H,N/A,N/A,4
2012-02,2391,BROOKS DAVID H,N/A,N/A,3
2012-03,2391,BROOKS DAVID H,N/A,N/A,2
2012-04,2391,BROOKS DAVID H,N/A,N/A,3
2012-05,2391,BROOKS DAVID H,N/A,N/A,1
2012-06,2391,BROOKS DAVID H,N/A,N/A,0
2012-07,2391,BROOKS DAVID H,N/A,N/A,0
2012-08,2391,BROOKS DAVID H,N/A,N/A,1
2012-09,2391,BROOKS DAVID H,N/A,N/A,1
2012-10,2391,BROOKS DAVID H,N/A,N/A,0
2012-11,2391,BROOKS DAVID H,N/A,N/A,4
2012-12,2391,BROOKS DAVID H,N/A,N/A,1
2013-01,2391,BROOKS DAVID H,N/A,N/A,1
2013-02,2391,BROOKS DAVID H,N/A,N/A,1
2013-03,2391,BROOKS DAVID H,N/A,N/A,0
2013-04,2391,BROOKS DAVID H,N/A,N/A,1
2013-05,2391,BROOKS DAVID H,N/A,N/A,0
2013-06,2391,BROOKS DAVID H,N/A,N/A,3
2013-07,2391,BROOKS DAVID H,N/A,N/A,2
2013-08,2391,BROOKS DAVID H,N/A,N/A,6
2013-09,2391,BROOKS DAVID H,N/A,N/A,2
2013-10,2391,BROOKS DAVID H,N/A,N/A,1
2013-11,2391,BROOKS DAVID H,N/A,N/A,2
2013-12,2391,BROOKS DAVID H,N/A,N/A,3
2014-01,2391,BROOKS DAVID H,N/A,N/A,2
2014-02,2391,BROOKS DAVID H,N/A,N/A,2
2014-03,2391,BROOKS DAVID H,N/A,N/A,3
2014-04,2391,BROOKS DAVID H,N/A,N/A,0
2014-05,2391,BROOKS DAVID H,N/A,N/A,0
2014-06,2391,BROOKS DAVID H,N/A,N/A,0
2014-07,2391,BROOKS DAVID H,N/A,N/A,0
2014-08,2391,BROOKS DAVID H,N/A,N/A,0
2014-09,2391,BROOKS DAVID H,N/A,N/A,0
2014-10,2391,BROOKS DAVID H,N/A,N/A,1
2014-11,2391,BROOKS DAVID H,N/A,N/A,2
2014-12,2391,BROOKS DAVID H,N/A,N/A,1
2015-01,2391,BROOKS DAVID H,N/A,N/A,0
2015-02,2391,BROOKS DAVID H,N/A,N/A,1
2015-03,2391,BROOKS DAVID H,N/A,N/A,1
2015-04,2391,BROOKS DAVID H,N/A,N/A,1
2015-05,2391,BROOKS DAVID H,N/A,N/A,2
2015-06,2391,BROOKS DAVID H,N/A,N/A,0
2015-07,2391,BROOKS DAVID H,N/A,N/A,0
2015-08,2391,BROOKS DAVID H,N/A,N/A,10
2015-09,2391,BROOKS DAVID H,N/A,N/A,0
2015-10,2391,BROOKS DAVID H,N/A,N/A,3
2015-11,2391,BROOKS DAVID H,N/A,N/A,2
2015-12,2391,BROOKS DAVID H,N/A,N/A,1
2016-01,2391,BROOKS DAVID H,N/A,N/A,2
2016-02,2391,BROOKS DAVID H,N/A,N/A,4
2016-03,2391,BROOKS DAVID H,N/A,N/A,0
2016-04,2391,BROOKS DAVID H,N/A,N/A,3
2016-05,2391,BROOKS DAVID H,N/A,N/A,3
2016-06,2391,BROOKS DAVID H,N/A,N/A,4
2016-07,2391,BROOKS DAVID H,N/A,N/A,4
2016-08,2391,BROOKS DAVID H,N/A,N/A,1
2016-09,2391,BROOKS DAVID H,N/A,N/A,0
2016-10,2391,BROOKS DAVID H,N/A,N/A,8
2016-11,2391,BROOKS DAVID H,N/A,N/A,10
2016-12,2391,BROOKS DAVID H,N/A,N/A,2
2017-01,2391,BROOKS DAVID H,N/A,N/A,5
2017-02,2391,BROOKS DAVID H,N/A,N/A,1
2017-03,2391,BROOKS DAVID H,N/A,N/A,1
2017-04,2391,BROOKS DAVID H,N/A,N/A,0
2017-05,2391,BROOKS DAVID H,N/A,N/A,5
2017-06,2391,BROOKS DAVID H,N/A,N/A,1
2017-07,2391,BROOKS DAVID H,N/A,N/A,2
2017-08,2391,BROOKS DAVID H,N/A,N/A,3
2017-09,2391,BROOKS DAVID H,N/A,N/A,2
2017-10,2391,BROOKS DAVID H,N/A,N/A,1
2017-11,2391,BROOKS DAVID H,N/A,N/A,2
2017-12,2391,BROOKS DAVID H,N/A,N/A,1
2018-01,2391,BROOKS DAVID H,N/A,N/A,0
2018-02,2391,BROOKS DAVID H,N/A,N/A,0
2018-03,2391,BROOKS DAVID H,N/A,N/A,2
2018-04,2391,BROOKS DAVID H,N/A,N/A,2
2018-05,2391,BROOKS DAVID H,N/A,N/A,2
2018-06,2391,BROOKS DAVID H,N/A,N/A,3
2018-07,2391,BROOKS DAVID H,N/A,N/A,2
2018-08,2391,BROOKS DAVID H,N/A,N/A,4
2018-09,2391,BROOKS DAVID H,N/A,N/A,2
2018-10,2391,BROOKS DAVID H,N/A,N/A,1
2018-11,2391,BROOKS DAVID H,N/A,N/A,5
2018-12,2391,BROOKS DAVID H,N/A,N/A,2
2019-01,2391,BROOKS DAVID H,N/A,N/A,3
2019-02,2391,BROOKS DAVID H,N/A,N/A,0
2019-03,2391,BROOKS DAVID H,N/A,N/A,1
2019-04,2391,BROOKS DAVID H,N/A,N/A,5
2019-05,2391,BROOKS DAVID H,N/A,N/A,5
2019-06,2391,BROOKS DAVID H,N/A,N/A,1
2019-07,2391,BROOKS DAVID H,N/A,N/A,0
2019-08,2391,BROOKS DAVID H,N/A,N/A,4
2019-09,2391,BROOKS DAVID H,N/A,N/A,1
2019-10,2391,BROOKS DAVID H,N/A,N/A,0
2019-11,2391,BROOKS DAVID H,N/A,N/A,2
2019-12,2391,BROOKS DAVID H,N/A,N/A,0
2020-01,2391,BROOKS DAVID H,N/A,N/A,2
2020-02,2391,BROOKS DAVID H,N/A,N/A,1
2020-03,2391,BROOKS DAVID H,N/A,N/A,1
2020-04,2391,BROOKS DAVID H,N/A,N/A,1
2020-05,2391,BROOKS DAVID H,N/A,N/A,1
2020-06,2391,BROOKS DAVID H,N/A,N/A,3
2020-07,2391,BROOKS DAVID H,N/A,N/A,0
2020-08,2391,BROOKS DAVID H,N/A,N/A,3
2020-09,2391,BROOKS DAVID H,N/A,N/A,1
2020-10,2391,BROOKS DAVID H,N/A,N/A,2
2020-11,2391,BROOKS DAVID H,N/A,N/A,1
2020-12,2391,BROOKS DAVID H,N/A,N/A,1
2021-01,2391,BROOKS DAVID H,N/A,N/A,0
