date,Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
2004-01,3069,CARSON THOMAS,N/A,N/A,26
2004-02,3069,CARSON THOMAS,N/A,N/A,64
2004-03,3069,CARSON THOMAS,N/A,N/A,49
2004-04,3069,CARSON THOMAS,N/A,N/A,87
2004-05,3069,CARSON THOMAS,N/A,N/A,79
2004-06,3069,CARSON THOMAS,N/A,N/A,46
2004-07,3069,CARSON THOMAS,N/A,N/A,0
2004-08,3069,CARSON THOMAS,N/A,N/A,21
2004-09,3069,CARSON THOMAS,N/A,N/A,10
2004-10,3069,CARSON THOMAS,N/A,N/A,21
2004-11,3069,CARSON THOMAS,N/A,N/A,22
2004-12,3069,CARSON THOMAS,N/A,N/A,39
2005-01,3069,CARSON THOMAS,N/A,N/A,76
2005-02,3069,CARSON THOMAS,N/A,N/A,71
2005-03,3069,CARSON THOMAS,N/A,N/A,38
2005-04,3069,CARSON THOMAS,N/A,N/A,61
2005-05,3069,CARSON THOMAS,N/A,N/A,23
2005-06,3069,CARSON THOMAS,N/A,N/A,8
2005-07,3069,CARSON THOMAS,N/A,N/A,39
2005-08,3069,CARSON THOMAS,N/A,N/A,37
2005-09,3069,CARSON THOMAS,N/A,N/A,48
2005-10,3069,CARSON THOMAS,N/A,N/A,64
2005-11,3069,CARSON THOMAS,N/A,N/A,46
2005-12,3069,CARSON THOMAS,N/A,N/A,19
2006-01,3069,CARSON THOMAS,N/A,N/A,22
2006-02,3069,CARSON THOMAS,N/A,N/A,51
2006-03,3069,CARSON THOMAS,N/A,N/A,46
2006-04,3069,CARSON THOMAS,N/A,N/A,16
2006-05,3069,CARSON THOMAS,N/A,N/A,55
2006-06,3069,CARSON THOMAS,N/A,N/A,11
2006-07,3069,CARSON THOMAS,N/A,N/A,26
2006-08,3069,CARSON THOMAS,N/A,N/A,47
2006-09,3069,CARSON THOMAS,N/A,N/A,38
2006-10,3069,CARSON THOMAS,N/A,N/A,22
2006-11,3069,CARSON THOMAS,N/A,N/A,13
2006-12,3069,CARSON THOMAS,N/A,N/A,30
2007-01,3069,CARSON THOMAS,N/A,N/A,34
2007-02,3069,CARSON THOMAS,N/A,N/A,32
2007-03,3069,CARSON THOMAS,N/A,N/A,33
2007-04,3069,CARSON THOMAS,N/A,N/A,22
2007-05,3069,CARSON THOMAS,N/A,N/A,24
2007-06,3069,CARSON THOMAS,N/A,N/A,18
2007-07,3069,CARSON THOMAS,N/A,N/A,14
2007-08,3069,CARSON THOMAS,N/A,N/A,39
2007-09,3069,CARSON THOMAS,N/A,N/A,13
2007-10,3069,CARSON THOMAS,N/A,N/A,32
2007-11,3069,CARSON THOMAS,N/A,N/A,44
2007-12,3069,CARSON THOMAS,N/A,N/A,30
2008-01,3069,CARSON THOMAS,N/A,N/A,24
2008-02,3069,CARSON THOMAS,N/A,N/A,27
2008-03,3069,CARSON THOMAS,N/A,N/A,32
2008-04,3069,CARSON THOMAS,N/A,N/A,34
2008-05,3069,CARSON THOMAS,N/A,N/A,27
2008-06,3069,CARSON THOMAS,N/A,N/A,20
2008-07,3069,CARSON THOMAS,N/A,N/A,32
2008-08,3069,CARSON THOMAS,N/A,N/A,29
2008-09,3069,CARSON THOMAS,N/A,N/A,29
2008-10,3069,CARSON THOMAS,N/A,N/A,25
2008-11,3069,CARSON THOMAS,N/A,N/A,35
2008-12,3069,CARSON THOMAS,N/A,N/A,29
2009-01,3069,CARSON THOMAS,N/A,N/A,49
2009-02,3069,CARSON THOMAS,N/A,N/A,68
2009-03,3069,CARSON THOMAS,N/A,N/A,46
2009-04,3069,CARSON THOMAS,N/A,N/A,22
2009-05,3069,CARSON THOMAS,N/A,N/A,50
2009-06,3069,CARSON THOMAS,N/A,N/A,37
2009-07,3069,CARSON THOMAS,N/A,N/A,23
2009-08,3069,CARSON THOMAS,N/A,N/A,33
2009-09,3069,CARSON THOMAS,N/A,N/A,17
2009-10,3069,CARSON THOMAS,N/A,N/A,12
2009-11,3069,CARSON THOMAS,N/A,N/A,27
2009-12,3069,CARSON THOMAS,N/A,N/A,31
2010-01,3069,CARSON THOMAS,N/A,N/A,39
2010-02,3069,CARSON THOMAS,N/A,N/A,26
2010-03,3069,CARSON THOMAS,N/A,N/A,26
2010-04,3069,CARSON THOMAS,N/A,N/A,21
2010-05,3069,CARSON THOMAS,N/A,N/A,26
2010-06,3069,CARSON THOMAS,N/A,N/A,12
2010-07,3069,CARSON THOMAS,N/A,N/A,16
2010-08,3069,CARSON THOMAS,N/A,N/A,22
2010-09,3069,CARSON THOMAS,N/A,N/A,32
2010-10,3069,CARSON THOMAS,N/A,N/A,22
2010-11,3069,CARSON THOMAS,N/A,N/A,22
2010-12,3069,CARSON THOMAS,N/A,N/A,29
2011-01,3069,CARSON THOMAS,N/A,N/A,27
2011-02,3069,CARSON THOMAS,N/A,N/A,29
2011-03,3069,CARSON THOMAS,N/A,N/A,27
2011-04,3069,CARSON THOMAS,N/A,N/A,33
2011-05,3069,CARSON THOMAS,N/A,N/A,25
2011-06,3069,CARSON THOMAS,N/A,N/A,27
2011-07,3069,CARSON THOMAS,N/A,N/A,23
2011-08,3069,CARSON THOMAS,N/A,N/A,29
2011-09,3069,CARSON THOMAS,N/A,N/A,29
2011-10,3069,CARSON THOMAS,N/A,N/A,31
2011-11,3069,CARSON THOMAS,N/A,N/A,28
2011-12,3069,CARSON THOMAS,N/A,N/A,32
2012-01,3069,CARSON THOMAS,N/A,N/A,25
2012-02,3069,CARSON THOMAS,N/A,N/A,20
2012-03,3069,CARSON THOMAS,N/A,N/A,25
2012-04,3069,CARSON THOMAS,N/A,N/A,24
2012-05,3069,CARSON THOMAS,N/A,N/A,31
2012-06,3069,CARSON THOMAS,N/A,N/A,17
2012-07,3069,CARSON THOMAS,N/A,N/A,31
2012-08,3069,CARSON THOMAS,N/A,N/A,39
