date,Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
2007-11,2721,BUSH JONATHAN,N/A,N/A,25
2007-12,2721,BUSH JONATHAN,N/A,N/A,9
2008-01,2721,BUSH JONATHAN,N/A,N/A,23
2008-02,2721,BUSH JONATHAN,N/A,N/A,18
2008-03,2721,BUSH JONATHAN,N/A,N/A,17
2008-04,2721,BUSH JONATHAN,N/A,N/A,6
2008-05,2721,BUSH JONATHAN,N/A,N/A,17
2008-06,2721,BUSH JONATHAN,N/A,N/A,12
2008-07,2721,BUSH JONATHAN,N/A,N/A,8
2008-08,2721,BUSH JONATHAN,N/A,N/A,15
2008-09,2721,BUSH JONATHAN,N/A,N/A,12
2008-10,2721,BUSH JONATHAN,N/A,N/A,8
2008-11,2721,BUSH JONATHAN,N/A,N/A,14
2008-12,2721,BUSH JONATHAN,N/A,N/A,17
2009-01,2721,BUSH JONATHAN,N/A,N/A,31
2009-02,2721,BUSH JONATHAN,N/A,N/A,14
2009-03,2721,BUSH JONATHAN,N/A,N/A,17
2009-04,2721,BUSH JONATHAN,N/A,N/A,8
2009-05,2721,BUSH JONATHAN,N/A,N/A,13
2009-06,2721,BUSH JONATHAN,N/A,N/A,15
2009-07,2721,BUSH JONATHAN,N/A,N/A,11
2009-08,2721,BUSH JONATHAN,N/A,N/A,16
2009-09,2721,BUSH JONATHAN,N/A,N/A,15
2009-10,2721,BUSH JONATHAN,N/A,N/A,17
2009-11,2721,BUSH JONATHAN,N/A,N/A,12
2009-12,2721,BUSH JONATHAN,N/A,N/A,15
2010-01,2721,BUSH JONATHAN,N/A,N/A,7
2010-02,2721,BUSH JONATHAN,N/A,N/A,11
2010-03,2721,BUSH JONATHAN,N/A,N/A,14
2010-04,2721,BUSH JONATHAN,N/A,N/A,9
2010-05,2721,BUSH JONATHAN,N/A,N/A,13
2010-06,2721,BUSH JONATHAN,N/A,N/A,21
2010-07,2721,BUSH JONATHAN,N/A,N/A,15
2010-08,2721,BUSH JONATHAN,N/A,N/A,11
2010-09,2721,BUSH JONATHAN,N/A,N/A,16
2010-10,2721,BUSH JONATHAN,N/A,N/A,21
2010-11,2721,BUSH JONATHAN,N/A,N/A,18
2010-12,2721,BUSH JONATHAN,N/A,N/A,9
2011-01,2721,BUSH JONATHAN,N/A,N/A,12
2011-02,2721,BUSH JONATHAN,N/A,N/A,10
2011-03,2721,BUSH JONATHAN,N/A,N/A,8
2011-04,2721,BUSH JONATHAN,N/A,N/A,6
2011-05,2721,BUSH JONATHAN,N/A,N/A,9
2011-06,2721,BUSH JONATHAN,N/A,N/A,6
2011-07,2721,BUSH JONATHAN,N/A,N/A,10
2011-08,2721,BUSH JONATHAN,N/A,N/A,12
2011-09,2721,BUSH JONATHAN,N/A,N/A,23
2011-10,2721,BUSH JONATHAN,N/A,N/A,17
2011-11,2721,BUSH JONATHAN,N/A,N/A,22
2011-12,2721,BUSH JONATHAN,N/A,N/A,13
2012-01,2721,BUSH JONATHAN,N/A,N/A,8
2012-02,2721,BUSH JONATHAN,N/A,N/A,6
2012-03,2721,BUSH JONATHAN,N/A,N/A,6
2012-04,2721,BUSH JONATHAN,N/A,N/A,11
2012-05,2721,BUSH JONATHAN,N/A,N/A,12
2012-06,2721,BUSH JONATHAN,N/A,N/A,7
2012-07,2721,BUSH JONATHAN,N/A,N/A,7
2012-08,2721,BUSH JONATHAN,N/A,N/A,15
2012-09,2721,BUSH JONATHAN,N/A,N/A,31
2012-10,2721,BUSH JONATHAN,N/A,N/A,17
2012-11,2721,BUSH JONATHAN,N/A,N/A,16
2012-12,2721,BUSH JONATHAN,N/A,N/A,16
2013-01,2721,BUSH JONATHAN,N/A,N/A,10
2013-02,2721,BUSH JONATHAN,N/A,N/A,10
2013-03,2721,BUSH JONATHAN,N/A,N/A,16
2013-04,2721,BUSH JONATHAN,N/A,N/A,16
2013-05,2721,BUSH JONATHAN,N/A,N/A,11
2013-06,2721,BUSH JONATHAN,N/A,N/A,14
2013-07,2721,BUSH JONATHAN,N/A,N/A,14
2013-08,2721,BUSH JONATHAN,N/A,N/A,17
2013-09,2721,BUSH JONATHAN,N/A,N/A,11
2013-10,2721,BUSH JONATHAN,N/A,N/A,15
2013-11,2721,BUSH JONATHAN,N/A,N/A,14
2013-12,2721,BUSH JONATHAN,N/A,N/A,11
2014-01,2721,BUSH JONATHAN,N/A,N/A,15
2014-02,2721,BUSH JONATHAN,N/A,N/A,11
2014-03,2721,BUSH JONATHAN,N/A,N/A,13
2014-04,2721,BUSH JONATHAN,N/A,N/A,8
2014-05,2721,BUSH JONATHAN,N/A,N/A,41
2014-06,2721,BUSH JONATHAN,N/A,N/A,18
2014-07,2721,BUSH JONATHAN,N/A,N/A,12
2014-08,2721,BUSH JONATHAN,N/A,N/A,14
2014-09,2721,BUSH JONATHAN,N/A,N/A,17
2014-10,2721,BUSH JONATHAN,N/A,N/A,14
2014-11,2721,BUSH JONATHAN,N/A,N/A,10
2014-12,2721,BUSH JONATHAN,N/A,N/A,15
2015-01,2721,BUSH JONATHAN,N/A,N/A,15
2015-02,2721,BUSH JONATHAN,N/A,N/A,11
2015-03,2721,BUSH JONATHAN,N/A,N/A,15
2015-04,2721,BUSH JONATHAN,N/A,N/A,19
2015-05,2721,BUSH JONATHAN,N/A,N/A,18
2015-06,2721,BUSH JONATHAN,N/A,N/A,16
2015-07,2721,BUSH JONATHAN,N/A,N/A,13
2015-08,2721,BUSH JONATHAN,N/A,N/A,17
2015-09,2721,BUSH JONATHAN,N/A,N/A,14
2015-10,2721,BUSH JONATHAN,N/A,N/A,17
2015-11,2721,BUSH JONATHAN,N/A,N/A,12
2015-12,2721,BUSH JONATHAN,N/A,N/A,15
2016-01,2721,BUSH JONATHAN,N/A,N/A,18
2016-02,2721,BUSH JONATHAN,N/A,N/A,30
2016-03,2721,BUSH JONATHAN,N/A,N/A,16
2016-04,2721,BUSH JONATHAN,N/A,N/A,12
2016-05,2721,BUSH JONATHAN,N/A,N/A,11
2016-06,2721,BUSH JONATHAN,N/A,N/A,8
2016-07,2721,BUSH JONATHAN,N/A,N/A,16
2016-08,2721,BUSH JONATHAN,N/A,N/A,17
2016-09,2721,BUSH JONATHAN,N/A,N/A,18
2016-10,2721,BUSH JONATHAN,N/A,N/A,85
2016-11,2721,BUSH JONATHAN,N/A,N/A,24
2016-12,2721,BUSH JONATHAN,N/A,N/A,10
2017-01,2721,BUSH JONATHAN,N/A,N/A,15
2017-02,2721,BUSH JONATHAN,N/A,N/A,8
2017-03,2721,BUSH JONATHAN,N/A,N/A,8
2017-04,2721,BUSH JONATHAN,N/A,N/A,11
2017-05,2721,BUSH JONATHAN,N/A,N/A,20
2017-06,2721,BUSH JONATHAN,N/A,N/A,12
2017-07,2721,BUSH JONATHAN,N/A,N/A,9
2017-08,2721,BUSH JONATHAN,N/A,N/A,8
2017-09,2721,BUSH JONATHAN,N/A,N/A,9
2017-10,2721,BUSH JONATHAN,N/A,N/A,12
2017-11,2721,BUSH JONATHAN,N/A,N/A,5
2017-12,2721,BUSH JONATHAN,N/A,N/A,12
2018-01,2721,BUSH JONATHAN,N/A,N/A,7
2018-02,2721,BUSH JONATHAN,N/A,N/A,12
2018-03,2721,BUSH JONATHAN,N/A,N/A,10
2018-04,2721,BUSH JONATHAN,N/A,N/A,24
2018-05,2721,BUSH JONATHAN,N/A,N/A,33
2018-06,2721,BUSH JONATHAN,N/A,N/A,72
2018-07,2721,BUSH JONATHAN,N/A,N/A,12
2018-08,2721,BUSH JONATHAN,N/A,N/A,18
2018-09,2721,BUSH JONATHAN,N/A,N/A,13
2018-10,2721,BUSH JONATHAN,N/A,N/A,7
2018-11,2721,BUSH JONATHAN,N/A,N/A,12
2018-12,2721,BUSH JONATHAN,N/A,N/A,71
2019-01,2721,BUSH JONATHAN,N/A,N/A,8
2019-02,2721,BUSH JONATHAN,N/A,N/A,7
2019-03,2721,BUSH JONATHAN,N/A,N/A,20
2019-04,2721,BUSH JONATHAN,N/A,N/A,5
2019-05,2721,BUSH JONATHAN,N/A,N/A,7
2019-06,2721,BUSH JONATHAN,N/A,N/A,9
2019-07,2721,BUSH JONATHAN,N/A,N/A,5
2019-08,2721,BUSH JONATHAN,N/A,N/A,9
2019-09,2721,BUSH JONATHAN,N/A,N/A,11
2019-10,2721,BUSH JONATHAN,N/A,N/A,8
2019-11,2721,BUSH JONATHAN,N/A,N/A,9
2019-12,2721,BUSH JONATHAN,N/A,N/A,5
2020-01,2721,BUSH JONATHAN,N/A,N/A,6
2020-02,2721,BUSH JONATHAN,N/A,N/A,7
2020-03,2721,BUSH JONATHAN,N/A,N/A,7
2020-04,2721,BUSH JONATHAN,N/A,N/A,8
2020-05,2721,BUSH JONATHAN,N/A,N/A,6
2020-06,2721,BUSH JONATHAN,N/A,N/A,9
2020-07,2721,BUSH JONATHAN,N/A,N/A,7
2020-08,2721,BUSH JONATHAN,N/A,N/A,7
2020-09,2721,BUSH JONATHAN,N/A,N/A,6
2020-10,2721,BUSH JONATHAN,N/A,N/A,10
2020-11,2721,BUSH JONATHAN,N/A,N/A,8
2020-12,2721,BUSH JONATHAN,N/A,N/A,4
2021-01,2721,BUSH JONATHAN,N/A,N/A,13
