Owner:,VARGA PAUL C
Cname:,BROWN FORMAN CORP
Google Trends Search Term:,Paul C Varga
Google Trends Suggestion:,American businessman
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,45
2005,Jun,46
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,100
2006,Mar,30
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,26
2006,Nov,25
2006,Dec,0
2007,Jan,22
2007,Feb,47
2007,Mar,21
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,59
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,18
2008,Jan,16
2008,Feb,0
2008,Mar,0
2008,Apr,0
2008,May,0
2008,Jun,0
2008,Jul,31
2008,Aug,31
2008,Sep,0
2008,Oct,0
2008,Nov,0
2008,Dec,14
2009,Jan,27
2009,Feb,28
2009,Mar,26
2009,Apr,0
2009,May,0
2009,Jun,0
2009,Jul,13
2009,Aug,13
2009,Sep,0
2009,Oct,12
2009,Nov,0
2009,Dec,12
2010,Jan,23
2010,Feb,12
2010,Mar,0
2010,Apr,11
2010,May,0
2010,Jun,0
2010,Jul,0
2010,Aug,29
2010,Sep,0
2010,Oct,9
2010,Nov,0
2010,Dec,9
2011,Jan,14
2011,Feb,0
2011,Mar,0
2011,Apr,7
2011,May,7
2011,Jun,14
2011,Jul,14
2011,Aug,13
2011,Sep,13
2011,Oct,6
2011,Nov,6
2011,Dec,12
2012,Jan,6
2012,Feb,17
2012,Mar,11
2012,Apr,12
2012,May,5
2012,Jun,6
2012,Jul,16
2012,Aug,11
2012,Sep,11
2012,Oct,15
2012,Nov,0
2012,Dec,0
2013,Jan,5
2013,Feb,5
2013,Mar,0
2013,Apr,5
2013,May,5
2013,Jun,14
2013,Jul,14
2013,Aug,9
2013,Sep,5
2013,Oct,9
2013,Nov,18
2013,Dec,4
2014,Jan,26
2014,Feb,14
2014,Mar,17
2014,Apr,13
2014,May,28
2014,Jun,10
2014,Jul,5
2014,Aug,5
2014,Sep,5
2014,Oct,5
2014,Nov,15
2014,Dec,10
2015,Jan,5
2015,Feb,15
2015,Mar,9
2015,Apr,5
2015,May,10
2015,Jun,10
2015,Jul,10
2015,Aug,10
2015,Sep,0
2015,Oct,9
2015,Nov,9
2015,Dec,0
2016,Jan,4
2016,Feb,12
2016,Mar,11
2016,Apr,4
2016,May,0
2016,Jun,0
2016,Jul,12
2016,Aug,12
2016,Sep,4
2016,Oct,11
2016,Nov,4
2016,Dec,0
2017,Jan,0
2017,Feb,11
2017,Mar,0
2017,Apr,7
2017,May,11
2017,Jun,4
2017,Jul,0
2017,Aug,4
2017,Sep,4
2017,Oct,0
2017,Nov,0
2017,Dec,14
2018,Jan,3
2018,Feb,4
2018,Mar,0
2018,Apr,10
2018,May,7
2018,Jun,25
2018,Jul,7
2018,Aug,10
2018,Sep,3
2018,Oct,7
2018,Nov,7
2018,Dec,10
2019,Jan,13
2019,Feb,0
2019,Mar,7
2019,Apr,0
2019,May,10
2019,Jun,0
2019,Jul,3
2019,Aug,3
2019,Sep,0
2019,Oct,9
2019,Nov,0
2019,Dec,6
2020,Jan,3
2020,Feb,3
2020,Mar,5
2020,Apr,3
2020,May,5
2020,Jun,0
2020,Jul,9
2020,Aug,6
2020,Sep,8
2020,Oct,3
2020,Nov,3
2020,Dec,3
2021,Jan,6
2021,Feb,7
2021,Mar,0
2021,Apr,0
2021,May,3
2021,Jun,3
2021,Jul,0
2021,Aug,0
2021,Sep,0
2021,Oct,0
2021,Nov,0
2021,Dec,0
2022,Jan,0
2022,Feb,12
2022,Mar,0
