Owner:,NEELEMAN DAVID
Cname:,JETBLUE AIRWAYS CORP
Google Trends Search Term:,David Neeleman
Google Trends Suggestion:,American-Brazilian-Cypriot businessman
Category:,Reliable

Year,Month,SVI Data
2004,Jan,28
2004,Feb,63
2004,Mar,58
2004,Apr,35
2004,May,16
2004,Jun,16
2004,Jul,8
2004,Aug,30
2004,Sep,15
2004,Oct,60
2004,Nov,8
2004,Dec,48
2005,Jan,30
2005,Feb,6
2005,Mar,32
2005,Apr,18
2005,May,44
2005,Jun,28
2005,Jul,17
2005,Aug,5
2005,Sep,14
2005,Oct,23
2005,Nov,46
2005,Dec,13
2006,Jan,4
2006,Feb,32
2006,Mar,36
2006,Apr,42
2006,May,7
2006,Jun,23
2006,Jul,11
2006,Aug,40
2006,Sep,3
2006,Oct,19
2006,Nov,31
2006,Dec,22
2007,Jan,22
2007,Feb,100
2007,Mar,54
2007,Apr,18
2007,May,76
2007,Jun,31
2007,Jul,34
2007,Aug,14
2007,Sep,9
2007,Oct,14
2007,Nov,21
2007,Dec,23
2008,Jan,21
2008,Feb,33
2008,Mar,40
2008,Apr,41
2008,May,28
2008,Jun,34
2008,Jul,17
2008,Aug,15
2008,Sep,12
2008,Oct,16
2008,Nov,11
2008,Dec,14
2009,Jan,3
2009,Feb,10
2009,Mar,19
2009,Apr,17
2009,May,5
2009,Jun,11
2009,Jul,8
2009,Aug,13
2009,Sep,11
2009,Oct,12
2009,Nov,15
2009,Dec,6
2010,Jan,6
2010,Feb,20
2010,Mar,10
2010,Apr,17
2010,May,24
2010,Jun,10
2010,Jul,9
2010,Aug,13
2010,Sep,9
2010,Oct,8
2010,Nov,14
2010,Dec,15
2011,Jan,9
2011,Feb,9
2011,Mar,8
2011,Apr,13
2011,May,13
2011,Jun,12
2011,Jul,11
2011,Aug,10
2011,Sep,12
2011,Oct,16
2011,Nov,8
2011,Dec,4
2012,Jan,7
2012,Feb,7
2012,Mar,10
2012,Apr,13
2012,May,8
2012,Jun,6
2012,Jul,5
2012,Aug,10
2012,Sep,5
2012,Oct,10
2012,Nov,6
2012,Dec,7
2013,Jan,5
2013,Feb,7
2013,Mar,4
2013,Apr,9
2013,May,5
2013,Jun,6
2013,Jul,8
2013,Aug,4
2013,Sep,7
2013,Oct,5
2013,Nov,4
2013,Dec,6
2014,Jan,4
2014,Feb,4
2014,Mar,5
2014,Apr,9
2014,May,6
2014,Jun,8
2014,Jul,7
2014,Aug,4
2014,Sep,4
2014,Oct,9
2014,Nov,6
2014,Dec,6
2015,Jan,2
2015,Feb,4
2015,Mar,8
2015,Apr,5
2015,May,7
2015,Jun,11
2015,Jul,3
2015,Aug,5
2015,Sep,10
2015,Oct,9
2015,Nov,6
2015,Dec,5
2016,Jan,3
2016,Feb,7
2016,Mar,6
2016,Apr,3
2016,May,2
2016,Jun,2
2016,Jul,4
2016,Aug,4
2016,Sep,6
2016,Oct,4
2016,Nov,6
2016,Dec,2
2017,Jan,5
2017,Feb,5
2017,Mar,5
2017,Apr,11
2017,May,5
2017,Jun,3
2017,Jul,4
2017,Aug,9
2017,Sep,7
2017,Oct,4
2017,Nov,1
2017,Dec,4
2018,Jan,2
2018,Feb,4
2018,Mar,3
2018,Apr,4
2018,May,4
2018,Jun,13
2018,Jul,20
2018,Aug,7
2018,Sep,6
2018,Oct,7
2018,Nov,6
2018,Dec,6
2019,Jan,6
2019,Feb,34
2019,Mar,16
2019,Apr,13
2019,May,8
2019,Jun,8
2019,Jul,7
2019,Aug,9
2019,Sep,11
2019,Oct,12
2019,Nov,7
2019,Dec,12
2020,Jan,9
2020,Feb,24
2020,Mar,10
2020,Apr,10
2020,May,8
2020,Jun,3
2020,Jul,7
2020,Aug,3
2020,Sep,5
2020,Oct,7
2020,Nov,6
2020,Dec,7
2021,Jan,7
2021,Feb,8
2021,Mar,16
2021,Apr,20
2021,May,28
2021,Jun,12
2021,Jul,14
2021,Aug,10
2021,Sep,7
2021,Oct,7
2021,Nov,11
2021,Dec,8
2022,Jan,9
2022,Feb,6
2022,Mar,15
