Owner:,DONOVAN DAN
Cname:,STAR GAS PARTNERS L P
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,20
2004,Feb,10
2004,Mar,25
2004,Apr,0
2004,May,9
2004,Jun,0
2004,Jul,27
2004,Aug,24
2004,Sep,8
2004,Oct,32
2004,Nov,8
2004,Dec,15
2005,Jan,19
2005,Feb,13
2005,Mar,34
2005,Apr,33
2005,May,0
2005,Jun,12
2005,Jul,6
2005,Aug,11
2005,Sep,5
2005,Oct,29
2005,Nov,10
2005,Dec,14
2006,Jan,17
2006,Feb,17
2006,Mar,15
2006,Apr,16
2006,May,11
2006,Jun,20
2006,Jul,0
2006,Aug,4
2006,Sep,7
2006,Oct,17
2006,Nov,3
2006,Dec,3
2007,Jan,14
2007,Feb,3
2007,Mar,17
2007,Apr,11
2007,May,15
2007,Jun,8
2007,Jul,13
2007,Aug,17
2007,Sep,20
2007,Oct,9
2007,Nov,15
2007,Dec,11
2008,Jan,6
2008,Feb,12
2008,Mar,10
2008,Apr,6
2008,May,8
2008,Jun,17
2008,Jul,12
2008,Aug,10
2008,Sep,15
2008,Oct,21
2008,Nov,4
2008,Dec,11
2009,Jan,12
2009,Feb,11
2009,Mar,10
2009,Apr,7
2009,May,19
2009,Jun,14
2009,Jul,15
2009,Aug,17
2009,Sep,10
2009,Oct,8
2009,Nov,19
2009,Dec,8
2010,Jan,22
2010,Feb,6
2010,Mar,11
2010,Apr,26
2010,May,18
2010,Jun,17
2010,Jul,15
2010,Aug,10
2010,Sep,33
2010,Oct,71
2010,Nov,74
2010,Dec,11
2011,Jan,17
2011,Feb,10
2011,Mar,8
2011,Apr,4
2011,May,5
2011,Jun,16
2011,Jul,12
2011,Aug,11
2011,Sep,5
2011,Oct,26
2011,Nov,15
2011,Dec,11
2012,Jan,10
2012,Feb,7
2012,Mar,10
2012,Apr,7
2012,May,4
2012,Jun,11
2012,Jul,10
2012,Aug,8
2012,Sep,6
2012,Oct,10
2012,Nov,6
2012,Dec,9
2013,Jan,7
2013,Feb,5
2013,Mar,6
2013,Apr,12
2013,May,5
2013,Jun,12
2013,Jul,13
2013,Aug,13
2013,Sep,13
2013,Oct,10
2013,Nov,9
2013,Dec,11
2014,Jan,7
2014,Feb,7
2014,Mar,9
2014,Apr,10
2014,May,12
2014,Jun,9
2014,Jul,7
2014,Aug,12
2014,Sep,22
2014,Oct,5
2014,Nov,8
2014,Dec,24
2015,Jan,20
2015,Feb,18
2015,Mar,18
2015,Apr,27
2015,May,34
2015,Jun,19
2015,Jul,19
2015,Aug,20
2015,Sep,11
2015,Oct,13
2015,Nov,14
2015,Dec,8
2016,Jan,10
2016,Feb,9
2016,Mar,15
2016,Apr,15
2016,May,9
2016,Jun,13
2016,Jul,13
2016,Aug,6
2016,Sep,10
2016,Oct,17
2016,Nov,18
2016,Dec,9
2017,Jan,18
2017,Feb,20
2017,Mar,35
2017,Apr,17
2017,May,18
2017,Jun,9
2017,Jul,15
2017,Aug,12
2017,Sep,11
2017,Oct,26
2017,Nov,19
2017,Dec,17
2018,Jan,19
2018,Feb,14
2018,Mar,11
2018,Apr,44
2018,May,51
2018,Jun,91
2018,Jul,21
2018,Aug,17
2018,Sep,19
2018,Oct,44
2018,Nov,100
2018,Dec,7
2019,Jan,12
2019,Feb,9
2019,Mar,6
2019,Apr,7
2019,May,7
2019,Jun,5
2019,Jul,9
2019,Aug,6
2019,Sep,7
2019,Oct,4
2019,Nov,3
2019,Dec,4
2020,Jan,6
2020,Feb,8
2020,Mar,3
2020,Apr,5
2020,May,8
2020,Jun,7
2020,Jul,5
2020,Aug,8
2020,Sep,9
2020,Oct,8
2020,Nov,8
2020,Dec,9
2021,Jan,11
