Owner:,JENSEN JOSEPH
Cname:,TEARLAB CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,44
2004,Apr,100
2004,May,0
2004,Jun,62
2004,Jul,0
2004,Aug,29
2004,Sep,28
2004,Oct,57
2004,Nov,58
2004,Dec,26
2005,Jan,45
2005,Feb,71
2005,Mar,20
2005,Apr,93
2005,May,42
2005,Jun,21
2005,Jul,42
2005,Aug,40
2005,Sep,37
2005,Oct,17
2005,Nov,35
2005,Dec,67
2006,Jan,15
2006,Feb,31
2006,Mar,27
2006,Apr,14
2006,May,54
2006,Jun,43
2006,Jul,14
2006,Aug,26
2006,Sep,39
2006,Oct,47
2006,Nov,12
2006,Dec,0
2007,Jan,41
2007,Feb,43
2007,Mar,10
2007,Apr,49
2007,May,64
2007,Jun,10
2007,Jul,36
2007,Aug,9
2007,Sep,61
2007,Oct,47
2007,Nov,47
2007,Dec,16
2008,Jan,57
2008,Feb,37
2008,Mar,36
2008,Apr,14
2008,May,29
2008,Jun,8
2008,Jul,14
2008,Aug,50
2008,Sep,33
2008,Oct,30
2008,Nov,47
2008,Dec,26
2009,Jan,0
2009,Feb,13
2009,Mar,24
2009,Apr,12
2009,May,24
2009,Jun,25
2009,Jul,36
2009,Aug,18
2009,Sep,35
2009,Oct,33
2009,Nov,28
2009,Dec,44
2010,Jan,5
2010,Feb,16
2010,Mar,29
2010,Apr,20
2010,May,32
2010,Jun,22
2010,Jul,37
2010,Aug,22
2010,Sep,22
2010,Oct,30
2010,Nov,17
2010,Dec,29
2011,Jan,23
2011,Feb,46
2011,Mar,22
2011,Apr,13
2011,May,35
2011,Jun,56
2011,Jul,23
2011,Aug,27
2011,Sep,33
2011,Oct,42
2011,Nov,26
2011,Dec,28
2012,Jan,34
2012,Feb,34
2012,Mar,25
2012,Apr,32
2012,May,23
2012,Jun,16
2012,Jul,28
2012,Aug,32
2012,Sep,39
2012,Oct,21
2012,Nov,21
2012,Dec,25
2013,Jan,32
2013,Feb,27
2013,Mar,25
2013,Apr,40
2013,May,40
2013,Jun,24
2013,Jul,34
2013,Aug,30
2013,Sep,33
2013,Oct,30
2013,Nov,42
2013,Dec,39
2014,Jan,49
2014,Feb,36
2014,Mar,25
2014,Apr,20
2014,May,26
2014,Jun,26
2014,Jul,21
2014,Aug,36
2014,Sep,26
2014,Oct,31
2014,Nov,31
2014,Dec,22
2015,Jan,21
2015,Feb,13
2015,Mar,26
2015,Apr,42
2015,May,25
2015,Jun,45
2015,Jul,39
2015,Aug,34
2015,Sep,37
2015,Oct,23
2015,Nov,15
2015,Dec,40
2016,Jan,22
2016,Feb,27
2016,Mar,17
2016,Apr,45
2016,May,31
2016,Jun,45
2016,Jul,20
2016,Aug,37
2016,Sep,33
2016,Oct,27
2016,Nov,24
2016,Dec,20
2017,Jan,39
2017,Feb,30
2017,Mar,27
2017,Apr,25
2017,May,28
2017,Jun,19
2017,Jul,29
2017,Aug,29
2017,Sep,19
2017,Oct,28
2017,Nov,44
2017,Dec,24
2018,Jan,30
2018,Feb,26
2018,Mar,16
2018,Apr,34
2018,May,24
2018,Jun,21
2018,Jul,22
2018,Aug,31
2018,Sep,27
2018,Oct,9
2018,Nov,20
2018,Dec,19
2019,Jan,9
2019,Feb,22
2019,Mar,30
2019,Apr,33
2019,May,35
2019,Jun,35
2019,Jul,16
2019,Aug,33
2019,Sep,17
2019,Oct,28
2019,Nov,24
2019,Dec,24
2020,Jan,16
2020,Feb,20
2020,Mar,13
2020,Apr,16
2020,May,16
2020,Jun,19
2020,Jul,24
2020,Aug,40
2020,Sep,20
2020,Oct,25
2020,Nov,20
2020,Dec,19
2021,Jan,21
