Owner:,DIAMOND JEAN A
Cname:,SED INTERNATIONAL HOLDINGS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,100
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,49
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,28
2007,Dec,29
2008,Jan,0
2008,Feb,26
2008,Mar,0
2008,Apr,0
2008,May,0
2008,Jun,27
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,0
2008,Nov,0
2008,Dec,0
2009,Jan,0
2009,Feb,0
2009,Mar,21
2009,Apr,21
2009,May,0
2009,Jun,22
2009,Jul,0
2009,Aug,0
2009,Sep,20
2009,Oct,19
2009,Nov,20
2009,Dec,0
2010,Jan,55
2010,Feb,19
2010,Mar,17
2010,Apr,0
2010,May,56
2010,Jun,19
2010,Jul,0
2010,Aug,0
2010,Sep,0
2010,Oct,0
2010,Nov,15
2010,Dec,0
2011,Jan,0
2011,Feb,0
2011,Mar,22
2011,Apr,23
2011,May,11
2011,Jun,0
2011,Jul,11
2011,Aug,0
2011,Sep,32
2011,Oct,10
2011,Nov,20
2011,Dec,29
2012,Jan,27
2012,Feb,0
2012,Mar,27
2012,Apr,28
2012,May,18
2012,Jun,28
2012,Jul,18
2012,Aug,17
2012,Sep,17
2012,Oct,40
2012,Nov,8
2012,Dec,24
2013,Jan,8
2013,Feb,8
2013,Mar,0
2013,Apr,22
2013,May,7
2013,Jun,23
2013,Jul,15
2013,Aug,15
2013,Sep,15
2013,Oct,0
2013,Nov,7
2013,Dec,22
2014,Jan,14
2014,Feb,8
2014,Mar,0
2014,Apr,28
2014,May,8
2014,Jun,0
2014,Jul,25
2014,Aug,8
2014,Sep,16
2014,Oct,15
2014,Nov,0
2014,Dec,8
2015,Jan,30
2015,Feb,16
2015,Mar,23
2015,Apr,0
2015,May,24
2015,Jun,25
2015,Jul,0
2015,Aug,17
2015,Sep,16
2015,Oct,8
2015,Nov,8
2015,Dec,16
2016,Jan,0
2016,Feb,34
2016,Mar,19
2016,Apr,13
2016,May,20
2016,Jun,14
2016,Jul,21
2016,Aug,7
2016,Sep,26
2016,Oct,6
2016,Nov,6
2016,Dec,18
2017,Jan,12
2017,Feb,12
2017,Mar,22
2017,Apr,12
2017,May,12
2017,Jun,13
2017,Jul,0
2017,Aug,0
2017,Sep,12
2017,Oct,12
2017,Nov,6
2017,Dec,0
2018,Jan,28
2018,Feb,12
2018,Mar,17
2018,Apr,0
2018,May,6
2018,Jun,24
2018,Jul,24
2018,Aug,6
2018,Sep,24
2018,Oct,6
2018,Nov,0
2018,Dec,0
2019,Jan,28
2019,Feb,18
2019,Mar,17
2019,Apr,12
2019,May,0
2019,Jun,0
2019,Jul,12
2019,Aug,11
2019,Sep,11
2019,Oct,0
2019,Nov,5
2019,Dec,21
2020,Jan,10
2020,Feb,11
2020,Mar,5
2020,Apr,14
2020,May,0
2020,Jun,5
2020,Jul,10
2020,Aug,5
2020,Sep,5
2020,Oct,5
2020,Nov,11
2020,Dec,22
2021,Jan,10
