Owner:,JAMES THOMAS A
Cname:,RAYMOND JAMES FINANCIAL INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,28
2004,Feb,36
2004,Mar,47
2004,Apr,27
2004,May,16
2004,Jun,0
2004,Jul,17
2004,Aug,23
2004,Sep,29
2004,Oct,38
2004,Nov,70
2004,Dec,48
2005,Jan,36
2005,Feb,32
2005,Mar,38
2005,Apr,68
2005,May,6
2005,Jun,28
2005,Jul,17
2005,Aug,47
2005,Sep,39
2005,Oct,50
2005,Nov,28
2005,Dec,40
2006,Jan,32
2006,Feb,33
2006,Mar,22
2006,Apr,19
2006,May,25
2006,Jun,30
2006,Jul,22
2006,Aug,37
2006,Sep,34
2006,Oct,31
2006,Nov,31
2006,Dec,28
2007,Jan,19
2007,Feb,23
2007,Mar,16
2007,Apr,16
2007,May,24
2007,Jun,15
2007,Jul,19
2007,Aug,14
2007,Sep,32
2007,Oct,27
2007,Nov,31
2007,Dec,30
2008,Jan,27
2008,Feb,29
2008,Mar,17
2008,Apr,45
2008,May,42
2008,Jun,18
2008,Jul,37
2008,Aug,23
2008,Sep,38
2008,Oct,34
2008,Nov,27
2008,Dec,32
2009,Jan,23
2009,Feb,38
2009,Mar,46
2009,Apr,25
2009,May,36
2009,Jun,30
2009,Jul,27
2009,Aug,28
2009,Sep,37
2009,Oct,33
2009,Nov,41
2009,Dec,30
2010,Jan,46
2010,Feb,44
2010,Mar,38
2010,Apr,37
2010,May,31
2010,Jun,35
2010,Jul,34
2010,Aug,21
2010,Sep,46
2010,Oct,35
2010,Nov,40
2010,Dec,40
2011,Jan,38
2011,Feb,46
2011,Mar,50
2011,Apr,38
2011,May,39
2011,Jun,25
2011,Jul,34
2011,Aug,19
2011,Sep,41
2011,Oct,37
2011,Nov,43
2011,Dec,34
2012,Jan,34
2012,Feb,48
2012,Mar,47
2012,Apr,54
2012,May,29
2012,Jun,37
2012,Jul,31
2012,Aug,33
2012,Sep,43
2012,Oct,63
2012,Nov,49
2012,Dec,41
2013,Jan,45
2013,Feb,51
2013,Mar,35
2013,Apr,48
2013,May,32
2013,Jun,28
2013,Jul,18
2013,Aug,31
2013,Sep,47
2013,Oct,54
2013,Nov,39
2013,Dec,41
2014,Jan,38
2014,Feb,48
2014,Mar,48
2014,Apr,44
2014,May,39
2014,Jun,38
2014,Jul,33
2014,Aug,36
2014,Sep,42
2014,Oct,68
2014,Nov,49
2014,Dec,36
2015,Jan,36
2015,Feb,47
2015,Mar,47
2015,Apr,34
2015,May,30
2015,Jun,26
2015,Jul,25
2015,Aug,27
2015,Sep,40
2015,Oct,53
2015,Nov,49
2015,Dec,41
2016,Jan,55
2016,Feb,46
2016,Mar,46
2016,Apr,45
2016,May,40
2016,Jun,40
2016,Jul,32
2016,Aug,29
2016,Sep,46
2016,Oct,52
2016,Nov,47
2016,Dec,53
2017,Jan,52
2017,Feb,60
2017,Mar,54
2017,Apr,50
2017,May,51
2017,Jun,32
2017,Jul,33
2017,Aug,35
2017,Sep,52
2017,Oct,60
2017,Nov,53
2017,Dec,49
2018,Jan,45
2018,Feb,59
2018,Mar,63
2018,Apr,58
2018,May,42
2018,Jun,35
2018,Jul,30
2018,Aug,31
2018,Sep,52
2018,Oct,70
2018,Nov,66
2018,Dec,49
2019,Jan,54
2019,Feb,62
2019,Mar,51
2019,Apr,47
2019,May,42
2019,Jun,37
2019,Jul,19
2019,Aug,29
2019,Sep,53
2019,Oct,65
2019,Nov,49
2019,Dec,47
2020,Jan,52
2020,Feb,51
2020,Mar,46
2020,Apr,53
2020,May,53
2020,Jun,42
2020,Jul,40
2020,Aug,35
2020,Sep,85
2020,Oct,100
2020,Nov,59
2020,Dec,66
2021,Jan,63
